name,phone,address,website,city,email
Glamorous Smile Dental Spa,1-973-912-9091,"Morris Avenue, Springfield, NJ, 07081",https://www.glamoroussmiledentalspa.com/,,
Glamorous Smile Dental Spa,1-732-588-8238,"NJ 66, Neptune City, NJ, 07753",https://glamoroussmiledentalspa.com/,,ayman_khourshed@yahoo.com
Glassboro Dentistry,,NJ,,,
Glickman & Christensen Premier Dentistry,,"Franklin Turnpike, Waldwick, NJ, 07463",,,
Glow Dental Spa,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Glow Dental Spa: Behshad Ahkami, DDS",,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Good Morning Dental,(201) 820-3600,"218 Main St Fl 4, Hackensack, NJ 07601, USA",http://goodmorningdentalnj.com/,Paterson,"goodmorningdentalnj@gmail.com; hi@typemade.mx, dave@lab6.com, goodmorningdentalnj@gmail.com"
Good Morning Dental,1-201-820-3600,"Main Street, Hackensack, NJ, 07601",https://goodmorningdentalnj.com,,
Gorski Kenneth N DDS,,"Valley Road, Wayne, NJ, 07470",,,
Great Smiles of Elizabeth,(908) 352-7730,"North Broad Street, NJ, 07208",,,
Greater Essex Dental,973-524-6880,"Branford Place, Newark, NJ, 07102",https://greateressexdental.com/,,hello@greateressexdental.com
Greg's Dentist,,"Broad Street, Bloomfield, NJ, 07003",,,
Grieder-Robert Melissa DDS,,"Ratzer Road, Wayne, NJ, 07470",,,
Grove Dental Centre,,NJ,,,
Hackensack Dentist,(201) 578-5923,"433 Essex St, Hackensack, NJ 07601, USA",https://hackensackdentistsnj.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-listing&utm_id=listing,Newark,hdentistnj@gmail.com
Hamilton Dental Associates,,NJ,,,
Hamilton Dental Associates,(609) 997-6062,"2929 Klockner Rd, Hamilton Township, NJ 08690, USA",https://www.hamiltondental.com/?utm_source=google&utm_medium=organic&utm_campaign=1seo_gmb,Trenton,info@hamiltondental.com
Harrison Family Dentist,(973) 241-5900,"300 Harrison Ave, Harrison, NJ 07029, USA",https://www.harrisonfamilydentistnj.com/,Newark,
Hawthorne Dental Associates,,"Lafayette Avenue, NJ",,,
Hazlet Family Dental,1-732-264-8004,"NJ 35, Hazlet Township, NJ, 07730",,,
Heritage Dental,,NJ,,,
Hillcrest Dental,,NJ,,,
Ho-Ho-Kus Dental Associates,,"North Maple Avenue, NJ",,,
Hoboken Family Dental,,NJ,,,
Hoboken Orthodontics,,NJ,,,
Holly Beach Dental Associates,,NJ,,,
Hung Chung Y DDS,,"Valley Road, Wayne, NJ, 07470",,,
I Smile Dental,,"North Broad Street, Trenton, NJ, 08608",,,
Ideal Smile Dental - Bensalem,(215) 859-5555,"3200 Bristol Rd, Bensalem, PA 19020, USA",https://www.createidealsmile.com/,Trenton,info@createidealsmile.com
Implant Dentistry Center,,NJ,,,
InSmile Dentistry,,"Georgetown Franklin Turnpike, Skillman, NJ, 08558",,,
Integrated Dental Aesthetics,1-973-838-4460,"Keil Avenue, Kinnelon, NJ, 07405",https://www.doctorlogan.com/,,
"Irfan Farhat, DDS",,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Isaac Menasha, DDS",1-908-486-8809,"W. Saint Georges Avenue, Linden, NJ, 07036",https://imdentistry.com/,,
Itsy Bitsy Dental,,NJ,,,
Ivory Dental Center,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
JSC Dentistry,,"Berdan Avenue, Wayne, NJ, 07470",,,
JSC Dentistry / Frank J. Russo DMD,,"Berdan Avenue, Wayne, NJ, 07470",,,
Jacob Dental Center,,"Kaighn Avenue, Camden, NJ, 08103",,,
Jager Dentistry,,NJ,,,
"James Choe, D.D.S",,"Hamburg Turnpike, Wayne, NJ, 07470",,,
"Jeannette Morris, DDS - Marko Jeftic, DMD",,"Fries Mill Road, Blackwood, NJ, 08012",,,
Jefferson Dental Associates,(215) 955-6666,"834 Chestnut St # 415, Philadelphia, PA 19107, USA",http://www.jeffdent.net/,Cherry Hill,Frontdesk@jeffdent.net
Jersey Brothers Dental,,"Spotswood-Englishtown Road, Monroe Township, NJ",,,
Jersey City Dental Spa,1-201-451-1600,"Montgomery Street, Jersey City, NJ, 07302",https://www.dentalnspa.com,,
Joel M Richterman Dental,(856) 678-5866,"North Broadway, Pennsville, NJ, 08070",https://www.richtermandental.com/,,
John J. Choi DDS,1-201-660-7871,"Sylvan Avenue, Englewood Cliffs, NJ, 07632",https://www.renuperio.com/,,
Johnson Bryan D DDS,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Johnson Bryan D DMD: Wayne Pediatric Dental Care,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
"Joseph A. Battaglia, MS, D.M.D.",,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Journal Square Dental,1-201-656-2221,"1 Journal Square Plaza, Jersey City, NJ, 07306",https://www.journalsquaredental.com/,,contact@journalsquaredental.com
Journal Square Dental - Cosmetic & General Dentist,(201) 656-2221,"1 Journal Square Plaza, Jersey City, NJ 07306, USA",https://www.journalsquaredental.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,Elizabeth,
KUSER FAMILY DENTAL,(609) 585-8480,"1771 Kuser Rd, Hamilton Township, NJ 08690, USA",http://kuserfamilydental.com/,Trenton,info@kuserfamilydental.com
Kadar Orthodontics,,"Egg Harbor Road, Sewell, NJ, 08080",,,
"Karen Katz DMD, Family and Cosmetic Dentistry",,"Ratzer Road, Wayne, NJ, 07470",,,
Kenilworth Dental Associates,,"Boulevard, Kenilworth, NJ, 07033",,,
Klele Luke T DMD,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Kurpis Center for Advanced Dentistry,,NJ,,,
LSH Dental,,"Throckmorton Lane, Old Bridge, NJ, 08857",,,
Lafayette Family Dental Care,,NJ,,,
Lake Family Dentistry,,NJ,,,
Lakehurst Dental,,NJ,,,
Lakeview Dental Care of Cherry Hill,(856) 424-3335,"101 Marlton Pike East, Cherry Hill Township, NJ 08034, USA",https://thesmilist.com/dentist-locations/new-jersey/cherry-hill-dentist/,Camden,
Lakeview Dental Care of Haddon Heights,(856) 546-0665,"209 White Horse Pike, Haddon Heights, NJ 08035, USA",https://thesmilist.com/dentist-locations/new-jersey/haddon-heights-dentist/,Camden,
Lakeview Dental Care of Washington Township,(856) 302-7026,"5650 NJ-42, Blackwood, NJ 08012, USA",https://thesmilist.com/dentist-locations/new-jersey/blackwood-dentist/,Camden,
Last John M DDS,,"Ratzer Road, Wayne, NJ, 07470",,,
"Laura Randolph, DMD",1-201-327-1976,"North Franklin Turnpike, Ramsey, NJ, 07446",https://www.drlaurarandolph.com/,,dr.lauraannrandolph@gmail.com
Laurence Breiterman,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Lawrence Dental Group,(609) 895-8844,"3100 Princeton Pike Bldg. 4 ,Ste. E, Lawrenceville, NJ 08648, USA",http://www.lawrencedental.com/,Trenton,
Legacy Family Dental,+1 973-263-6400,"Rt 46, Budd Lake, NJ, 07828",https://www.lfdnj.com/,,
Leonia Dental,,"Broad Avenue, Leonia, NJ, 07605",,,
Levittown Family Dental Associates,(215) 960-9628,"359 Indian Creek Dr, Levittown, PA 19057, USA",https://levittownfamilydental.com/,Trenton,lfdawork@levittownfamilydental.com
Life Ok Dental LLC,973-887-3000,"Reynolds Avenue, Parsippany-Troy Hills Township, NJ, 07054",https://www.politedentalcare.net/,,
Life Smile Dentistry,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Lincroft Oral Surgery,732-842-5915,"515 Newman Springs Road, Lincroft, NJ, 07738",https://www.lincroftoralsurgery.com/,,info@oralsurgery.support
Livy Dental,1-732-296-1010,"Livingston Avenue, New Brunswick, NJ, 08901",https://www.livydental.com/,,info@livydental.com
Lupo Marie,,"Berdan Avenue, Wayne, NJ, 07470",,,
Madison Ave Dental,,NJ,,,
Madison Dentistry & Implant Center,973-822-8003_973-822-8006,"268 Main Street, Madison, NJ, 07940",https://madisondentistryllc.com/,,frontdesk@madisondentistryllc.com_madisondentistryllc@gmail.com
Maiden Lane Dental,(212) 509-4585,"80 Maiden Ln #702, New York, NY 10038, USA",https://maidenlanedental.com/,Elizabeth,info@maidenlanedental.com
Main St. Dental,,NJ,,,
Main Street Dental,,"North Broadway, Pennsville, NJ, 08070",,,
Manicone Nancy,,"Valley Road, Wayne, NJ, 07470",,,
Manville Dental Group,,"Washington Avenue, Manville, NJ, 08835",,,
Manville Family Dental,1-908-725-900,NJ,,,
"Marc H. Berley, DMD",+1 732-531-8020,"NJ-35, Ocean Township, NJ, 07712",https://www.ocean-newjersey-dentist.com/,,
"Marian Farag, D.M.D.",,NJ,,,
Marini & Manci,+1 (201) 864-8510,NJ,https://www.mariniandmanci.com/,,
Mark Sandler Dentistry,,NJ,,,
Marlen Elite Dental Wellness,201-880-6736,"Kinderkamack Road, Suite 306, River Edge, NJ, 07661",https://www.marlenelitedental.com/,,
Marshall Kevin D DDS,,"Mountainview Boulevard, Wayne, NJ, 07470",,,
Master Dentistry Center,(201) 758-7834,"8412 John F. Kennedy Blvd, North Bergen, NJ 07047, USA",https://maps.google.com/?cid=5478357398253113237,Paterson,MasterDcenter@gmai.com
Maya Fuchs,,NJ,,,
McCartin Christopher DMD,,NJ,,,
Medical Park Dentistry,,"Ratzer Road, Wayne, NJ, 07470",,,
Mee Dental,2019479900,NJ,,,
Mercer Oral Surgery,,"Nami Lane, Hamilton Township, NJ, 08619",,,
Mercerville Family Dental,(609) 890-0810,"2211 Whitehorse Mercerville Rd, Mercerville, NJ 08619, USA",http://www.mercervillesmiles.com/,Trenton,
Midland Family Dental Care,(973) 340-4484,"765 Midland Ave, Garfield, NJ 07026, USA",https://www.midlandfamilydental.com/,Paterson,
Midtown Dental Group,201-639-3483,"75 Montgomery St Ste 503, Jersey City, NJ 07302",https://midtowndentalgroup.com/,,jerseycity@midtowndentalgroup.com
Mini Dental Implant Solutions,,"Hamburg Turnpike, Wayne, NJ, 07470",,,
Modern Dental Vision,,"North Olden Avenue, Trenton, NJ, 08638",,,
Modern Micro Endodontics,,"Washington Street, Hoboken, NJ, 07030",,,
Montague Dental,+1 973 293 3404,NJ,https://www.montaguedental.com/,,info@drduddy.com
Montclair Dental Center,,"Bloomfield Avenue, NJ",,,
Montclair Dental Spa,973-744-1527,"Claremont Ave, Montclair, NJ, 07042",https://montclairdentalspanj.com,,
Montclair Pediatric Dental Care,,NJ,,,
Montclair South Dental Associates,,NJ,,,
"Morrone, Kaye, & Yucha Orthodontics",,NJ,,,
Mount Olive Family Dental,+1 973-584-5550,"Flanders - Bartley Road, Flanders, NJ, 07836",https://www.flandersdentist.com/,,
Mountain View Dental Art & Implant Center,,NJ,,,
Mt Laurel Dental and Implant Center,+1 856-778-0022,"Union Mill Road, Mt Laurel Township, NJ, 08054",https://www.mtlaureldental.com,,
My NYC Dentist - 34th Street Dental,(212) 564-8164,"225 W 35th St # 2, New York, NY 10001, USA",http://www.mynyc-dentist.com/,Newark,
My New Jersey Dentist,(201) 425-9580,"385 Prospect Ave Suite 304, Hackensack, NJ 07601, USA",https://mynjdentist.com/,Newark,info@mynjdentist.com
My Orthodontist,,NJ,,,
My Smile Dental,(201) 880-7744,"101 US-46, Saddle Brook, NJ 07663, USA",http://mysmiledental.org/,Paterson,Office@mysmiledental.org; massoportalesweb2024@gmail.com
NJ Root Canal,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Natoli Dental,,"Fries Mill Road, Blackwood, NJ, 08012",,,
Neptune Family Dental,,NJ,,,
New Jersey Dental Arts,19737437575,"Broad Street, Bloomfield, NJ, 07003",https://www.newjerseydentalarts.com/,,
New Providence Dentistry,(908) 376-9297,"571 Central Ave suite 100, New Providence, NJ 07974, USA",http://www.newprovidencedentistry.com/,Elizabeth,
New Smile Dentistry - Husniye Dogan,(973) 253-3500,"225 Lakeview Ave, Clifton, NJ 07011, USA",https://cliftonnewsmiledentistry.com/,Newark,cliftonnewsmiledentistry@gmail.com
New York Dental Office,(212) 548-3261,"245 E 63rd St #110, New York, NY 10065, USA",https://www.newyorkdentaloffice.com/,Newark,
New York General Dentistry,(212) 838-0842,"133 E 58th St Ste 409, New York, NY 10022, USA",https://newyorkgeneraldentistry.com/?utm_source=GMBlisting&utm_medium=organic,Newark,
Newport Centre Dental,,NJ,,,
Next Level Dental,1-201-339-8019,"Avenue C, Bayonne, NJ, 07002",https://www.nextleveldentalnj.net,,
"Nicholas J. Tria, DMD",,"Valley Road, Wayne, NJ, 07470",,,
Noble Dental Care,(718) 965-1144,"472 5th Ave, Brooklyn, NY 11215, USA",http://www.myparkslopedentist.com/,Elizabeth,info@myparkslopedentist.com
North Brunswick Family Dental & Orthodontics,,NJ,,,
North Jersey Endontics: Lubit Fredric A DDS,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
North Jersey Oral Surgeons,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
North Jersey Orthodontics: Dr. Elizabeth Ellen,,"Woodstock Drive, Wayne, NJ, 07470",,,
Nova Dental,,"Bloomfield Avenue, Newark, NJ, 07107",,,
NÜVA Smile,(551) 525-6636,"174-176 Main St, Ridgefield Park, NJ 07660, USA",https://www.nuvasmile.com/locations/ridgefield-park-office/,Paterson,
Oakwood Dental,,NJ,,,
Ocean Dental Care,,NJ,,,
Omega Dental Clinic,,NJ,,,
Ortho One,,"Haddonfield-Berlin Road, Voorhees, NJ, 08043",,,
Orthodontic Specialist PC,(732) 548-5008,"Middlesex Avenue, Metuchen, NJ, 08840",https://orthospecialistpc.com/,,
Pablo Acuna Dental Group,,"Washington Avenue, Belleville, NJ, 07109",,,
Palisades Dental Care,(201) 279-0440,"47 E Madison Ave, Dumont, NJ 07628, USA",https://palisadesdentalcare.com/?UTM_source=GMB_listing&UTM_medium=organic,Paterson,smile@palisadesdentalcare.com
Papasikos Orthodontist,,NJ,,,
Paramus Park Dental,,NJ,,,
Park Avenue Gentle Dental: Dr. Harsha Patel DDS,1-908-756-1009,"Park Avenue, Plainfield, NJ, 07060",https://www.harshagentledental.com/,,
Park North Dentistry,(718) 783-1700,"31 8th Ave Ste 1, Brooklyn, NY 11217, USA",https://parknorthdentistry.com/,Newark,drgilroy@parknorthdentistry.com
Park Slope Dentistry Seventh Avenue,(718) 550-1284,"357 7th Ave, Brooklyn, NY 11215, USA",https://slopedental.com/,Elizabeth,office@slopedental.com
Parkway Dental,,"South Crescent Boulevard, Camden, NJ, 08105",,,
Parsippany Family Dental,1-973-263-1770,"Route 46 West, Parsippany, NJ, 07054",,,
Paterno Orthodonics,,"Mount Laurel Road, Mount Laurel, NJ, 08054",,,
Paterson Family Dental,,NJ,,,
Pediatric Dental Associates,1-201-652-7020,"South Maple Avenue, Ridgewood, NJ, 07450",https://pdaridgewood.com/,,
Peninsula Advanced Dentistry,732-542-2326,"Main Street, Eatontown, NJ, 07724",http://www.peninsulaadvanceddentistry.com/,,
Pennington Dental Associates,(609) 737-0288,"31 N Main St, Pennington, NJ 08534, USA",https://www.penningtondentalcenter.com/,Trenton,
Pennsylvania Dental Group,(215) 387-0883,"3700 Market St #101, Philadelphia, PA 19104, USA",http://www.padentalgroup.com/,Cherry Hill,
Pequannock Valley Dental,,NJ,,,
Periodontics & Implant Center,,NJ,,,
Personalized Dentistry,,"Ernston Road, Parlin, NJ, 08859",,,
Philadelphia Dental - Broad St,(215) 336-8391,"1732 S Broad St, Philadelphia, PA 19145, USA",https://www.philadelphiadental.com/,Cherry Hill,
Philadelphia Dental Associates,(215) 564-9010,"2000 Market St BSA 2, Philadelphia, PA 19103, USA",https://www.philadelphiadentalassociates.com/,Cherry Hill,philadelphiadentalassociates@gmail.com
Philadelphia Dentistry,(215) 568-6222,"1601 Walnut St #1302, Philadelphia, PA 19102, USA",https://www.phillydentistry.com/,Cherry Hill,
Piekarsky Orthodontic Associates,,"Hinchman Avenue, Wayne, NJ, 07470",,,
Pierri Joseph F DDS,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Plaza Dentistry,(201) 833-6847,"1382 Queen Anne Rd, Teaneck, NJ 07666, USA",https://www.plazadentistry.com/?utm_source=local&utm_medium=organic&utm_campaign=gbp_home,Jersey City,teaneckplazadentistry@gmail.com
Pleasant Avenue Dental,(201) 518-3053,"141-148 W Pleasant Ave, Maywood, NJ 07607, USA",http://www.pleasantavenuedental.com/,Paterson,"Info@PleasantAvenueDental.com; Info@PleasantAvenueDental.com, contact@sansoxygen.com"
Pompton Dental Arts,,"Ringwood Avenue, Pompton Lakes, NJ, 07442",,,
Popeck Family Dentistry,856-678-6393,"North Broadway, Pennsville, NJ",https://www.pennsvillecosmeticdentist.com/,,
Poussin Dental,+1 908-232-3550,"Saint Paul Street, Westfield, NJ, 07090",https://poussindental.com,,care@poussindental.com
Premier Arts Dental,1-732-702-2787,"US 9, Freehold Township, NJ, 07728",https://www.premierartsdental.com/,,
Premiere Dental of Northeast Philadelphia - Family Dentistry,(215) 965-1617,"3330-66 Grant Ave, Philadelphia, PA 19114, USA",https://www.premieredental.com/,Camden,abington@premieredental.com
Premiere Dental of West Deptford,+1 856-845-3299,"Jessup Road, West Deptford, NJ, 08086",https://www.premieredental.com/west-deptford-nj/,,wdeptford@premieredental.com
Prestige Dental,1-973-828-8397,"Clifton Avenue, NJ",,,
Prestige Dental,1-862-777-9439,"Clifton Avenue, Clifton, NJ, 07013",https://drdoktorman.com/,,
Prime Dentistry of Northeast Philadelphia,(215) 742-1200,"6818 Castor Ave, Philadelphia, PA 19149, USA",https://www.primedentistry.net/,Cherry Hill,info@primedentistry.net
Princeton Center for Dental Aesthetics and Implants,,NJ,,,
Princeton Smile Dental Studios,(609) 951-9595,"10 Jefferson Plaza STE 200, Princeton, NJ 08540, USA",http://princetonsmile.com/?utm_source=google&utm_medium=organic&utm_campaign=businessprofile,Trenton,
Prospect Park Family Dentistry,(610) 822-9224,"907 Lincoln Ave, Prospect Park, PA 19076, USA",https://www.prospectparkdentistry.com/,Camden,
R.J. Taverna,,NJ,,,
Ram Dental Associates PA,,NJ,,,
Rand Center for Dentistry,+1 973-370-8917,"US 206, Flanders, NJ, 07836",https://www.randdental.com/,,frontdesk@RandDental.com
Rao's Family Dental,,"East Main Street, Ramsey, NJ, 07446",,,
Raritan Dental Care Inc,,"W. Somerset Street, Raritan, NJ, 08869",,,
Real Smile Dental,,NJ,,,
Richard C. Genung. Family & Cosmetic Dentistry,,NJ,,,
Richard L Lachenmayr & Associates,,"3rd Avenue, Alpha, NJ, 08865",,,
Richland Creek Dental,,NJ,,,
Ridge Family Dentistry,,NJ,,,
Ridgewood Dental Associates,,NJ,,,
Riki T. Kreitman DMD,,"South 4th Avenue, Highland Park, NJ, 08904",,,
RiteSmile Dental,,NJ,,,
Riverdale Family Dentistry,(718) 601-0100,"3525 Riverdale Ave, Bronx, NY 10463, USA",https://www.riverdalefamilydentalpc.com/,Passaic,Appointments.RD@gmail.com
Riverpark Dental Howell,(732) 751-4028,"4034 US-9, Howell Township, NJ, 07731",https://riverparkdentalhowell.com,,riverparkdentalhowell@gmail.com
Robert Del Presto D.M.D.,1-732-840-1300,NJ,,,
Rochelle Dental,(201) 843-7474,"5 W Passaic St #2, Rochelle Park, NJ 07662, USA",https://www.rochelledental.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,Paterson,rochelledental@gmail.com
Rotem Dental Care,,"Route 37 West, NJ",,,
Rubino James M DMD,,NJ,,,
S Dental & Specialties,201-343-8888,"Essex Street, Rochelle Park, NJ, 07662",,,
S&L Dental,,NJ,,,
SEO Jason H DDS,,"Ratzer Road, Wayne, NJ, 07470",,,
"Sam Romano, D.M.D.",,NJ,,,
Sayreville Dental,732-257-9300,"Washington Road, Sayreville, NJ, 08872",https://www.sayrevilledental.com/?utm_source=Website&utm_medium=GMB,,
Sayreville Dental Studio,732-967-3814,"Pulaski Avenue, Sayreville, NJ, 08872",https://sayrevilledentalstudio.com/,,
Schuster Family Orthodontics,,NJ,,,
Schweighardt Lin,,"Valley Road, Wayne, NJ, 07470",,,
Segal and Iyer Orthodontics,,"State Route 73, Marlton, NJ, 08053",,,
Sewell Dental Arts,,"Fries Mill Road, Blackwood, NJ, 08012",,,
"Shadi Vaghei, DMD",,"Hinchman Avenue, Wayne, NJ, 07470",,,
Shah Orthodontics,,"East Main Street, Marlton, NJ, 08053",,,
Shoreland Dental,1-732-264-2117,"Highway 35, Hazlet Township, NJ",Www.shorelanddental.com,,Shorelanddental@hotmail.com
Short Orthodontics,,NJ,,,
Sicklerville Smiles,856-728-9200,"423 Sicklerville Rd, Sicklerville, NJ, 08081",https://sicklervillesmiles.com/,,
Singla Sandeep K DDS,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Smile Central Dental,,NJ,,,
Smile Dental Center Of NJ PA,1-201-861-4600,"Bergenline Avenue, North Bergen, NJ, 07047",http://smiledentalnjpa.com,,
Smile Experience Orthodontics - Dr. Greg Rosenberg,,"Hinchman Avenue, Wayne, NJ, 07470",,,
Smile Express,,NJ,,,
Smile Flossophy,1-609-862-222,"Princeton-Hightstown Road, West Windsor Township, NJ, 08550",https://smileflossophy.com/,,
Smile Li Dentistry LLC,,NJ,,,
Smile N Shine Family Dentistry,(973) 759-4115,"392 Washington Ave, Belleville, NJ 07109, USA",https://snsdentistry.com/,Newark,info@snsdentistry.com
SmileLogic,,NJ,,,
SmilePartnerz Dental Health Group-Dr. Frank DiCicco and Dr. Harry Long,,"Ratzer Road, Wayne, NJ, 07470",,,
Smiles,,"Pittstown Road, Pittstown, NJ, 08867",,,
Smiles By Design!,(973) 691-8200,"US-46, Budd Lake, NJ, 07828",,,
Smiles Unlimited Dental Center,,"South Main Street, NJ",,,
Smiles on the Hudson,(201) 941-0088,"125 River Rd Suite 104, Edgewater, NJ 07020, USA",https://www.smilesonthehudson.com/,Paterson,"contactus@smilesonthehudson.com; contactus@dentalgroupofwestchester.com, contactus@smilesonthehudson.com"
Smiling Faces Dental,732-257-2000,"Washington Road, Parlin, NJ, 08859",https://www.smilingfacesdental.com,,
Soder Dianna,,"Berdan Avenue, Wayne, NJ, 07470",,,
Somerset Dental Associates,1-908-253-3660,"South Main Street, NJ",,,
"Sonal Jain, DDS, PA",,NJ,,,
Sorina Dental Office,,"Morris Avenue, NJ",,,
Soul Dental West,(646) 437-6062,"853 11th Ave, New York, NY 10019, USA",https://www.souldentalnyc.com/?utm_campaign=gmb,Elizabeth,west@souldentalnyc.com
South Jersey Center for Dental Medicine,(856) 596-4333,"525 NJ-73 STE 105, Marlton, NJ 08053, USA",https://www.marltoncosmeticdentist.com/,Camden,drvidyadds@gmail.com
South Jersey Dental Medicine,,"State Route 73, Evesham, NJ, 08053",,,
South Jersey Family Dental,(856) 227-2554,"900 NJ-168 STE I6, Turnersville, NJ 08012, USA",https://www.turnersvilledentist.com/?y_source=1_OTU3MTUyMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,Camden,
"South Jersey Periodontics & Dental Implants, LLC",,"Egg Harbor Road, Sewell, NJ, 08080",,,
Spitzer Dental Design- Dentist Wayne NJ,,"NJ-23, Wayne, NJ, 07470",,,
Staffordshire Dental Group P.A.,(856) 627-3400,"1307 White Horse Rd Building E, Suite 500, Voorhees Township, NJ 08043, USA",https://www.staffordshiredental.com/,Camden,staffordshiredentalgroup@gmail.com
State Street Smiles,,NJ,,,
Steven Markowitz DDS,,NJ,,,
Stiles Dental,,NJ,,,
Strong Roots Dental,551-553-4277_551-288-0255,"273 Newark Avenue, Jersey City, NJ 07302;938 Hudson street, Hoboken, NJ 07030",https://www.strongrootsdental.com/,,strongrootsdentaljc@gmail.com; strongrootsdentalhoboken@gmail.com
Summit Dentist,(908) 698-4229,"137 Summit Ave 1st Floor, Summit, NJ 07901, USA",https://summitdentist.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,Newark,
TDL Dental Laboratory,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
TK Dental,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
TK Dental - Tatyana Kaminar DDS P.C.,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Tamaro Frank a DDS,,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Team Dental - Northern Liberties,(215) 598-5100,"992 N 2nd St, Philadelphia, PA 19123, USA",https://team-dental.com/,Cherry Hill,Northernliberties@team-dental.com
Teeth Tamers Orthodontics,732-792-3581,"U.S. 9, #201, Englishtown, NJ, 07726",https://www.teethtamersortho.com/,,
TenBrook Orthodontics,,"State Route 73, Marlton, NJ, 08053",,,
Tenafly Dentistry,,"Central Avenue, Tenafly, NJ, 07670",,,
Tenbrook Orthodontics,877-764-5310,"Swedesboro Road, Mullica Hill, NJ, 08062",https://www.tenbrookorthodontics.com/,,info@tenbrookortho.com
Teresa Oh,,NJ,,,
Terra Dental Center,+1 201 325 8900,NJ,,,
The Atrium,,NJ,,,
The Children's Dental Center,,"W. End Avenue, Somerville, NJ, 08876",,,
The Dental Spa - Philadelphia | Dr. Jeremy D. Kay,(215) 621-8608,"1601 Walnut St #704, Philadelphia, PA 19102, USA",http://www.phillydentalspa.com/?utm_source=GMBListing&utm_medium=Organic,Cherry Hill,DentalSpaPhilly@gmail.com
The Dentists LLC,+1 201-836-2720,"Palisade Avenue, Teaneck, NJ, 07666",http://thedentistsllc.com,,
"The Gentle Dentist of Jackson Heights - Dr. Amit Sood, DDS",(718) 775-3999,"81-31 Baxter Ave, Elmhurst, NY 11373, USA",https://www.dentist-jackson-heights.com/,Jersey City,
The Laser Dental Group of Westfield,,NJ,,,
The Orthodontic Center Of Wayne - Dr. Sally Song,,"Ratzer Road, Wayne, NJ, 07470",,,
The Smile Center of Wrightstown,,"Monmouth Road, Wrightstown, NJ, 08562",,,
Thomas J. Giusto,,NJ,,,
Thomas Pijanowski DMD,,NJ,,,
Tiny Teeth of Lakewood,1-848-245-779,"NJ 70, Lakewood, NJ, 08701",https://tinyteethnj.com/,,
Tooth Fairy Family Dental,(609) 452-2600,"Plainsboro Road, NJ",https://www.toothfairyfamily.com,,
Total Care Dentistry,,NJ,,,
Total Dental Care,,"Brunswick Avenue, Lawrence Township, NJ, 08648",,,
Train Station Dental,,"E Atlantic Avenue, Audubon, NJ, 08106",,,
True Dental Care for Kids & Teens,1-201-565-880,"Brunswick Street, Jersey City, NJ, 07302",http://www.pediatricdentalnj.com,,help@pediatricdentalnj.com
Ulacare Dentistry,,NJ,,,
Union City Oral Surgery Group,1-201-601-9262,"33rd Street, Union City, NJ, 07087",https://www.unioncityoralsurgerygroup.com/,,
Union Hill Dental and orthodontist,,NJ,,,
Unique Family Dentistry,,NJ,,,
United Dental Group,,NJ,,,
Unity Dental,,"Hooper Avenue, Toms River, NJ",,,
Unknown Dental Clinic,,"Vail Road, Parsippany-Troy Hills Township, NJ, 07054",,,
Unknown Dental Clinic,,"NJ-35, Holmdel Township, NJ, 07733",,,
Unknown Dental Clinic,,"North Main Street, Mullica Hill, NJ, 08062",,,
Unknown Dental Clinic,15-7325-657-9191,"Route 37 West, NJ",,,
Unknown Dental Clinic,,NJ,,,
Unknown Dental Clinic,,"Lawrence Road, Lawrence Township, NJ, 08648",,,
Unknown Dental Clinic,,"Summit Street, Parsippany-Troy Hills Township, NJ, 07054",,,
Upper Darby Family Dental,(610) 228-4407,"7922 West Chester Pike, Upper Darby Township, PA 19082, USA",http://upperdarbydentist.net/,Camden,dentist.7922@gmail.com
