name,address,phone,email,website
Lakehurst Dental,NJ,,,
Dr. Jeffrey M. Falduto Family Dentistry,"8 Chapel Hill Rd Lincoln Park, NJ 07035",(973) 696-4200,office@jfalduto.com,https://www.jeffreymfaldutodmd.com
Unity Dental,"Hooper Avenue, Toms River, NJ",,,
Unknown Dental Clinic,NJ,,,
Blairstown Smile Studio,"807 NJ-94, Blairstown, NJ, 07825",(908)362-7008,Blairstown.smile.studio@gmail.com,https://blairstownsmilestudio.com/
Sicklerville Smiles,"423 Sicklerville Rd, Sicklerville, NJ, 08081",856-728-9200,,https://sicklervillesmiles.com/
Nova Dental,"Bloomfield Avenue, Newark, NJ, 07107",,,
Allstate Dental,"Bloomfield Avenue, Newark, NJ, 07107",,,
Allied Dental,NJ,,,
Manicone Nancy,"Valley Road, Wayne, NJ, 07470",,,
Unknown Dental Clinic,NJ,,,
Greg's Dentist,"Broad Street, Bloomfield, NJ, 07003",,,
Abra Health - Newark Smile Center,"223 Bloomfield Avenue, Newark, NJ",(973) 221-4607,,https://abradental.com/locations/bloomfield-newark-smile-center/
"Dr. Jay A. Zimmerman, DMD","Sheffield Street, Mountainside, NJ, 07092",+1 973-635-9515,,https://www.jayzimmermandentist.com/
Tooth Fairy Family Dental,"Plainsboro Road, NJ",(609) 452-2600,,https://www.toothfairyfamily.com
Dimension Dental,NJ,,,
Dent Blanche Dental,"Larwenceville Road, Princeton, NJ, 08540",+1 609-890-1888,dentblanchedental@gmail.com,https://www.dentblanchedental.com/
Legacy Family Dental,"Rt 46, Budd Lake, NJ, 07828",+1 973-263-6400,,https://www.lfdnj.com/
Central Jersey Prosthodontics,"226 Raritan Avenue, Highland Park, NJ, 08904",732-247-9190,,https://www.centraljp.com/
"Esteban Barrera, D.D.S.",NJ,,,
Ace Dental,NJ,,,
Rao's Family Dental,"East Main Street, Ramsey, NJ, 07446",,,
Hamilton Dental Associates,NJ,,,
"Christopher J. Shyne DMD, FAGD, MAGD, LLC","Yardville Hamilton Square Road, Hamilton, NJ, 08690",1-609-587-8400,,http://doctorshyne.com
"Dental Excellence, LLC",NJ,,,
Mark Sandler Dentistry,NJ,,,
Cherry Hill Family Dental,NJ,,,
Dunn Dental,NJ,,,
Personalized Dentistry,"Ernston Road, Parlin, NJ, 08859",,,
Family & Cosmetic Dentistry,"Ernston Road, Parlin, NJ, 08859",,,
"Daniel A. Nyhuis, DMD, PC",NJ,,,
"Donald C. Bogert, Jr., DMD",NJ,,,
Waterfront Detal,NJ,,,
Camden Dental Associates,"Market Street, Camden, NJ, 08103",,,
Pequannock Valley Dental,NJ,,,
Total Care Dentistry,NJ,,,
"Exclusive Oral Surgery, LLC","Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Ulacare Dentistry,NJ,,,
Family Dentistry of Edison,"Parsonage Road, Edison, NJ, 08837",+1 732-548-9400,,http://www.toothdoctors.net/
Richland Creek Dental,NJ,,,
Unknown Dental Clinic,NJ,,,
Unknown Dental Clinic,NJ,,,
Shoreland Dental,"Highway 35, Hazlet Township, NJ",1-732-264-2117,Shorelanddental@hotmail.com,Www.shorelanddental.com
Unknown Dental Clinic,NJ,,,
Unknown Dental Clinic,NJ,,,
West Broadway Dental,NJ,,,
Paterno Orthodonics,"Mount Laurel Road, Mount Laurel, NJ, 08054",,,
Unknown Dental Clinic,NJ,,,
Family Dentistry,"Barclay Farm Shopping Center, Cherry Hill, NJ, 08034",,,
Wooley Denistry,"795 Route 70 East, Suite O,Marlton Pike, Evesham, NJ, 08053",856 797-8600,welcomestaff@wooleydentistry.com,http://www.wooleydentistry.com/
Dentist,"Haddonfield-Berlin Road, Voorhees, NJ, 08043",,,
Unknown Dental Clinic,NJ,,,
Family Dentistry,"East Main Street, Marlton, NJ, 08053",,,
Unknown Dental Clinic,"Summit Street, Parsippany-Troy Hills Township, NJ, 07054",,,
Ortho One,"Haddonfield-Berlin Road, Voorhees, NJ, 08043",,,
Segal and Iyer Orthodontics,"State Route 73, Marlton, NJ, 08053",,,
Dental Health Associates,"State Route 38, Lumberton, NJ, 08048",,,
TenBrook Orthodontics,"State Route 73, Marlton, NJ, 08053",,,
Shah Orthodontics,"East Main Street, Marlton, NJ, 08053",,,
"""BRAYCES"" Orthodontics","Shore Road, Somers Point, NJ, 08244",,,
Garwood Dental Excellence,NJ,,,
Brighter Dentist,NJ,,,
Papasikos Orthodontist,NJ,,,
Unknown Dental Clinic,NJ,,,
Friendly Dental,"Oxford Lane, Aberdeen Township, NJ, 07747",,,
Allendale Dental,"West Allendale Avenue, Allendale, NJ, 07401",12017601116,,https://www.allendaledental.net/
"Benjamin J. Avery, DMD Family Dentistry","South Main Street, Phillipsburg, NJ, 08865",,,
South Jersey Dental Medicine,"State Route 73, Evesham, NJ, 08053",,,
Holly Beach Dental Associates,NJ,,,
Unknown Dental Clinic,"Lawrence Road, Lawrence Township, NJ, 08648",,,
Unknown Dental Clinic,NJ,,,
Total Dental Care,"Brunswick Avenue, Lawrence Township, NJ, 08648",,,
Associates In Oral and Maxillofacial Surgery,"Morris Avenue, Springfield, NJ, 07081",,,
Glamorous Smile Dental Spa,"Morris Avenue, Springfield, NJ, 07081",1-973-912-9091,,https://www.glamoroussmiledentalspa.com/
Wayne Family Dental,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Balla Joseph a DDS,"Hamburg Turnpike, Wayne, NJ, 07470",,,
Train Station Dental,"E Atlantic Avenue, Audubon, NJ, 08106",,,
"Karen Katz DMD, Family and Cosmetic Dentistry","Ratzer Road, Wayne, NJ, 07470",,,
North Jersey Orthodontics: Dr. Elizabeth Ellen,"Woodstock Drive, Wayne, NJ, 07470",,,
Unknown Dental Clinic,NJ,,,
Lincroft Oral Surgery,"515 Newman Springs Road, Lincroft, NJ, 07738",732-842-5915,info@oralsurgery.support,https://www.lincroftoralsurgery.com/
Gorski Kenneth N DDS,"Valley Road, Wayne, NJ, 07470",,,
"Nicholas J. Tria, DMD","Valley Road, Wayne, NJ, 07470",,,
Wayne Dental Arts,"Packanack Lake Road, Wayne, NJ, 07470",,,
Cherry Hill Family Dental,NJ,,,
Cozy Family Dental,"Black Oak Ridge Road, Wayne, NJ, 07470",,,
The Children's Dental Center,"W. End Avenue, Somerville, NJ, 08876",,,
Pierri Joseph F DDS,"Paterson-Hamburg Turnpike, Wayne, NJ, 07470",,,
Union Hill Dental and orthodontist,NJ,,,
The Atrium,NJ,,,
Unknown Dental Clinic,NJ,,,
"Advanced Dental Concepts, PA","New Road, Somers Point, NJ, 08204",,,
Gersch Orthodontics,"East Broad Street, Westfield, NJ, 07090",,,
Short Orthodontics,NJ,,,
Unknown Dental Clinic,NJ,,,
Bright Family Dental,"Broad Avenue, Palisades Park, NJ, 07650",,,
Newport Centre Dental,NJ,,,
Choi Dental,"Broad Avenue, Leonia, NJ, 07605",,,
Affordable Teeth Care,"Ventnor Avenue, Atlantic City, NJ, 08401",,,
Ridgewood Dental Associates,NJ,,,
"David J. D’Apolito, D.M.D.","Rahway Avenue, Woodbridge, NJ, 07095",,,
Unknown Dental Clinic,"North Main Street, Mullica Hill, NJ, 08062",,,
McCartin Christopher DMD,NJ,,,
Advanced Dental Care,"160 South Broad Street, Ridgewood, NJ 07450",201-365-4458,,https://advanceddentalcarepa.com/
Main Street Dental,"North Broadway, Pennsville, NJ, 08070",,,
Dentistry of South Jersey,"South Broadway, Pennsville, NJ, 08070",,,
Joel M Richterman Dental,"North Broadway, Pennsville, NJ, 08070",(856) 678-5866,,https://www.richtermandental.com/
"Charles A. Evans, D.M.D. Dental Practice","Benson Avenue, Pennsville, NJ, 08070",,,
Bright Smile Orthodontics,"Fair Lawn Avenue, Fair Lawn, NJ, 07410",1-201-794-9500,,https://brightsmileorthodontics.com/
Unknown Dental Clinic,NJ,,,
Ganttown Dental,"Ganttown Road, Sewell, NJ, 08080",,,
LSH Dental,"Throckmorton Lane, Old Bridge, NJ, 08857",,,
Diamond Braces,"E. McFarlan Street, Dover, NJ, 07801",,,
Colts Neck Smiles,"NJ 34, Colts Neck, NJ, 07722",1-732-431-800,office@coltsnecksmiles.com,
"South Jersey Periodontics & Dental Implants, LLC","Egg Harbor Road, Sewell, NJ, 08080",,,
Dental Arts At Washington Township,"Talon Court, Sewell, NJ, 08080",,,
Real Smile Dental,NJ,,,
Armstrong Pediatric Dental,NJ,,,
Dentistry for Special People,"Fries Mill Road, Blackwood, NJ, 08012",,,
"Jeannette Morris, DDS - Marko Jeftic, DMD","Fries Mill Road, Blackwood, NJ, 08012",,,
Frank Batastini Orthodontics,"Fries Mill Road, Blackwood, NJ, 08012",,,
Sewell Dental Arts,"Fries Mill Road, Blackwood, NJ, 08012",,,
Natoli Dental,"Fries Mill Road, Blackwood, NJ, 08012",,,
Gibbstown Dentistry,"Harmony Road, Gibbstown, NJ, 08027",+1 856-599-1350,,https://www.gibbstowndentistry.com/
Unknown Dental Clinic,NJ,,,
Sayreville Dental Studio,"Pulaski Avenue, Sayreville, NJ, 08872",732-967-3814,,https://sayrevilledentalstudio.com/
Sayreville Dental,"Washington Road, Sayreville, NJ, 08872",732-257-9300,,https://www.sayrevilledental.com/?utm_source=Website&utm_medium=GMB
Aspen Dental,"NJ 57, Hackettstown, NJ, 07840",1-908-594-2450,,
Tenafly Dentistry,"Central Avenue, Tenafly, NJ, 07670",,,
Zen Dental,"South 4th Avenue, Highland Park, NJ, 08904",,,
Riki T. Kreitman DMD,"South 4th Avenue, Highland Park, NJ, 08904",,,
"Warren Merguerian, DDS","Fischer Boulevard, Toms River, NJ, 08753",+1 732 270 6868,,http://www.familydentaloftomsriver.com/
Unknown Dental Clinic,"Vail Road, Parsippany-Troy Hills Township, NJ, 07054",,,
SmileLogic,NJ,,,
Doctors of Dental Medicine,NJ,,,
Smile Express,NJ,,,
Unknown Dental Clinic,NJ,,,
Dental Arts Design,NJ,,,
Westwood Oral Surgery Associates,"North Broadway, Pennsville, NJ, 08070",856-678-9303,,
Garden State Dental,NJ,732-276-4135,,
DDS Craig Abramowicz,NJ,732-432-5982,,
Beckman Dental,"Main Street, Netcong, NJ, 07857",(973) 347-0080,,
Apex Dental,"Ernston Road, Parlin, NJ, 08859",732-553-1313,,https://apexdentalhealth.com
Columbia Dental,NJ,,,
Unknown Dental Clinic,NJ,,,
Lake Family Dentistry,NJ,,,
Dr. Amy James & Associates Orthodontists,"North Haddon Avenue, Haddonfield, NJ, 08033",,,
Alex Colalillo Orthodontics,"N Main Street, Mullica Hill, NJ, 08062",,,
Glassboro Dentistry,NJ,,,
Jersey Brothers Dental,"Spotswood-Englishtown Road, Monroe Township, NJ",,,
Dr. Joseph A. Checchio Dentistry,"Mullica Hill Road, Mullica Hill, NJ, 08062",856-270-2203,,
Vincent Colonna D.M.D.,"Inman Avenue, Colonia, NJ, 07067",,,
Family Dental Associates of Brookdale,"Broad Street, Bloomfield, NJ, 07003",,,
Heritage Dental,NJ,,,
Galloway Dental Group,NJ,,,
Zeik Dental,"Maple Avenue, Red Bank, NJ, 07701",,,
Vernon Valley Dental,NJ,,,
Unknown Dental Clinic,NJ,,,
Montague Dental,NJ,+1 973 293 3404,info@drduddy.com,https://www.montaguedental.com/
Grove Dental Centre,NJ,,,
Family Dentistry,"US 46, Hackettstown, NJ, 07840",1-908-850-8660,,
Browns Mills Dental Center,"Juliustown Road, Browns Mills, NJ, 08015",,,
Rotem Dental Care,"Route 37 West, NJ",,,
Family Dental Group,"Washington Avenue, Belleville, NJ, 07109",,,
"Dr. Mariana C. Elwell DDS, MAGD, ABGD","Franklin Street, Bridgeton, NJ, 08302",1-856-455-4095,,https://www.mybridgetondentist.com/
Community Dental,"Wellington Avenue, Ventnor City, NJ, 08406",,,
Atlantic Smiles,"Ventnor Avenue, Atlantic City, NJ, 08401",1-609-344-1900,info@atlanticsmiles.com,http://www.atlanticsmiles.com/atlantic-city-location.html
