Name,Address,Phone,Website,Rating,Email
Comprehensive Dental Services,"154 Avenue T, Brooklyn, NY 11223, USA",(718) 339-3003,http://www.thesmilepeople.com/,3.8,drsapienza@thedentalspany.com
DDS Boris Sapozhnikov,"2568 E 17th St 2nd fl, Brooklyn, NY 11235, USA",(718) 934-1934,,2.9,
"Dr. Victoria Edelstein, DDS","2568 E 17th St, Brooklyn, NY 11235, USA",(212) 297-0357,https://www.doctoredelstein.com/,4.7,dentist@doctoredelstein.com
Kipnis Dental - Dr. Marina Kipnis DDS,"3041 Brighton 2nd St, Brooklyn, NY 11235, USA",(718) 265-5525,https://kipnisdental.com/,4.5,
Demtriy Volotsemko Dental,"2300 W 7th St #2306, Brooklyn, NY 11223, USA",(718) 872-0460,,2.6,
Shawn Cohen DDS PLLC,"372 Avenue U Suite L1, Brooklyn, NY 11223, USA",(718) 372-3151,https://www.nycbestdentalcare.com/,4.9,info@nycbestdentalcare.com;Info@NYCBestDentalCare.com
"Dr. Oleg Pen, DDS","1810 Jerome Ave Floor 1, Brooklyn, NY 11235, USA",(718) 648-4990,http://pendentistry.net/,3,
Newman Gilbert DDS,"3003 Ocean Pkwy #1, Brooklyn, NY 11235, USA",,,,
Tabak Yelena DDS,"3130 Brighton 6th St # 1D, Brooklyn, NY 11235, USA",(718) 648-2067,,5,
"Barton Orthodontics: Dr. Kenneth A. Barton D.D.S., M.S.D., A.B.O.","3003 Ocean Pkwy, Brooklyn, NY 11235, USA",(732) 757-1821,,3.6,
Tabak Anatoly DDS,"3130 Brighton 6th St Ste 1d, Brooklyn, NY 11235, USA",(718) 648-2067,,3,
"Dr. Shlomo Pessin - Implants, Cosmetic & Sedation","1915 Avenue Z, Brooklyn, NY 11235, USA",(718) 743-3110,https://ismilebrooklyn.com/,5,
"Dr. Alla Zusin, DDS","3130 Brighton 6th St Ste 1g, Brooklyn, NY 11235, USA",(718) 743-2501,,1,
"Scott Kolpon DDS, P.C.","1603 Voorhies Ave 1st floor, Brooklyn, NY 11235, USA",(718) 743-2264,,5,
"Dr. Mark Meyler, DDS","50 Shore Blvd, Brooklyn, NY 11235, USA",(718) 769-9777,,,
Gitlin Dental Arts,"178 Brighton 11th St, Brooklyn, NY 11235, USA",(718) 414-6146,,2,
Center For Preventible Dentist,"Trump Village 2, 2940 Ocean Pkwy # 2G, Brooklyn, NY 11235, USA",(718) 996-0300,,5,
Bite Squad Dental of NYC,"2464 Coney Island Ave f2, Brooklyn, NY 11223, USA",(718) 998-2424,https://bitesquaddentalnyc.com/,4.6,
Korol,"3049 Ocean Pkwy # 3, Brooklyn, NY 11235, USA",(718) 513-3270,,,
Restful Sleep Solution,"1725 Sheepshead Bay Rd, Brooklyn, NY 11235, USA",(718) 872-7830,https://restfulsleepsolution.com/contact-us,,filler@godaddy.com
Dr. Alyson Buchalter - Buchalter Dental Care,"388 Avenue X #1j, Brooklyn, NY 11223, USA",(718) 336-0450,http://www.brooklynsmilesdentalcare.com/,4.6,drbuchalter@optonline.net
Advanced Periodontal Services,"3165 Emmons Ave C1, Brooklyn, NY 11235, USA",(718) 743-8279,,5,
"Stuart Segelnick, DDS & Katherine Mantzikos, DMD","3165 Emmons Ave C1, Brooklyn, NY 11235, USA",(718) 743-8279,,4.7,
Vista Dental,"2951 Ocean Ave, Brooklyn, NY 11235, USA",(718) 332-2100,,4.1,
Renew Dental Spa,"2901 Ocean Ave, Brooklyn, NY 11235, USA",(718) 648-5656,https://www.renewdentalspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=gmb-rdsb,5,dan@netvisits.com
Berezin Alexander DDS,"3043 Emmons Ave #201, Brooklyn, NY 11235, USA",(718) 758-5200,,4.9,
"Dr. Paul Markel, DDS","2121 Avenue Z, Brooklyn, NY 11235, USA",(718) 382-5757,http://paulmarkeldds.com/,4.6,
Breezy Point Smiles,"20408 Rockaway Point Blvd, Breezy Point, NY 11697, USA",(929) 699-8457,https://www.breezypointsmiles.com/?utm_source=google.com&utm_medium=business+profile&utm_campaign=,5,breezypointsmiles@gmail.com
Brooklyn Dental Smiles,"3901 Nostrand Ave L5, Brooklyn, NY 11235, USA",(718) 891-2929,https://brooklyndentalsmiles.com/?utm_source=google_business_profile&utm_medium=gbp_website_link,4.2,
Jeffry Nirenstein Dental Pc: Lekht Anna DDS,"2841 Bragg St, Brooklyn, NY 11235, USA",(718) 769-2400,,3.9,
Jeffry Nirenstein Dental PC,"2841 Bragg St, Brooklyn, NY 11235, USA",(718) 769-2400,https://www.zocdoc.com/dentist/anna-lekht-dds-171854,4.1,
Jonathan Schwartz,"2900 Bragg St, Brooklyn, NY 112351144, USA",(718) 891-8400,,5,
Baker James DDS,"110 Shore Blvd Ste 1l, Brooklyn, NY 11235, USA",(718) 332-7803,,,
Dr. Yecheskel Eis,"3901 Nostrand Ave L5, Brooklyn, NY 11235, USA",(718) 891-2929,https://brooklyndentalsmiles.com/?utm_source=google_business_profile&utm_medium=gbp_website_link,5,
"Dr. Boris Sapozunikov, DDS","1600 Sheepshead Bay Rd, Brooklyn, NY 11235, USA",(718) 934-1934,,5,
"Dr. Raisa Rozenberg, DDS","88 West End Ave # 1F, Brooklyn, NY 11235, USA",(718) 646-2097,,5,
Mindlin Mitchell DDS,"30 West End Ave #8, Brooklyn, NY 11235, USA",(718) 891-3782,,5,
Ettinger Michael DDS,"3020 Ave Y #1D, Brooklyn, NY 11235, USA",(718) 332-1188,,4.6,
Dr. K Dental: Dr. Kuznetsov,"65 Oriental Blvd, Brooklyn, NY 11235, USA",(718) 769-6777,http://dentistry.nyc/,4.9,hello@dentistry.nyc;brooklyn@dentistry.nyc
Preston David Schaffer,"1901 Emmons Ave, Brooklyn, NY 112352756, USA",(718) 646-6600,,4.5,
Madison Robert DDS,"2 West End Ave #1, Brooklyn, NY 11235, USA",(718) 743-1339,,5,
"Dmitriy Kuznetsov , DDS","65 Oriental Blvd, Brooklyn, NY 11235, USA",(718) 769-6777,http://www.dntlny.com/,5,studiodntl@gmail.com
World Smiles Prosthodontics,"3121 Ocean Ave suite 101, Brooklyn, NY 11235, USA",(347) 378-7827,https://www.worldsmilesnyc.com/,5,
Royfe Inna DDS,"200 Corbin Pl, Brooklyn, NY 11235, USA",(718) 648-6446,,,
Flanzer Robert S DDS,"126 West End Ave, Brooklyn, NY 11235, USA",(718) 332-6466,,,
Gennadiy Tsibelman,"200 Corbin Pl APT L5, Brooklyn, NY 11235, USA",(718) 648-6446,,2.3,
"Sergei Glazebnik, DDS, MS","88 West End Ave, Brooklyn, NY 11235, USA",(718) 769-4978,https://www.periospace.com/,4.2,
"Dr. Konstantin V. Mankovskiy, DDS","2939 Ave Y, Brooklyn, NY 11235, USA",(718) 648-5500,,3.7,
S B Dental Care,"1516 Voorhies Ave, Brooklyn, NY 11235, USA",(718) 332-3130,,1,
Advanced Dentistry Dental Office,"3051 Ocean Ave # A10, Brooklyn, NY 11235, USA",(718) 934-9494,,3.7,
"Dr. Tamara Likholetova, DDS","3051 Ocean Ave # A10, Brooklyn, NY 11235, USA",(718) 934-9494,,3.9,
Goldberg Mintz & Dober,"3043 Ocean Ave #207, Brooklyn, NY 11235, USA",(718) 646-4114,,,
Avdeychik Corporation,"3043 Ocean Ave #101, Brooklyn, NY 11235, USA",(718) 646-0900,,,
Dober Larry DDS,"3043 Ocean Ave #207, Brooklyn, NY 11235, USA",(718) 646-4114,,,
Avdeychik Yevgeny DDS,"3043 Ocean Ave #101, Brooklyn, NY 11235, USA",(718) 646-0900,,3,
Yelskaya Lidiya DDS,"1625 Emmons Ave Suite AA, Brooklyn, NY 11235, USA",(718) 676-9500,,3.7,
Healthy Teeth Dental PC,"3060 Ocean Ave, Brooklyn, NY 11235, USA",(718) 615-2272,,3,
Dr. Alexander Lezhansky,"3060 Ocean Ave STE LN, Brooklyn, NY 11235, USA",(718) 615-2272,,4.2,
Daniel M Staub PC,"465 B 133 St, Belle Harbor, NY 11694, USA",(718) 474-6336,,,
Curley III John J DDS,"561 B 133 St, Rockaway Park, NY 11694, USA",(718) 634-5528,,,
"Dr. Aaron Brandwein, DDS","12904 Newport Ave, Far Rockaway, NY 11694, USA",(718) 634-8434,,5,
John J. Roche Orthodontics,"122-10 Rockaway Beach Blvd, Belle Harbor, NY 11694, USA",(718) 634-9700,https://jjrocheortho.com/,5,johnjrochedmdms@optonline.net
Lewis Mark DDS,"241 Beach 116th St #2, Rockaway Park, NY 11694, USA",(718) 474-8383,,1,
"Dr. David S. Rogoff, DDS","115-08 Beach Channel Dr #103, Rockaway Park, NY 11694, USA",(718) 318-3384,http://rogoffsdentalgroup.com/,4.9,
Rockaway Beach Orthodontics & Pediatric Dentistry,"114-12 Beach Channel Dr Suite #4, Rockaway Beach, NY 11694, USA",(718) 924-2091,https://www.rbopd.com/,5,info@askmagnify.com
"Michael A Beck, DMD, PLLC","114-04 Beach Channel Dr, Rockaway Park, NY 11694, USA",(718) 253-4754,http://www.drmichaelbeck.com/,5,info@drmichaelbeck.com
"Daniel Trezza, DDS","114-04 Beach Channel Dr, Rockaway Park, NY 11694, USA",(718) 634-4848,,5,
"Kevin O Waltrous, DMD","114-04 Beach Channel Dr, Rockaway Park, NY 11694, USA",(718) 634-4848,https://www.dentistryofrockawaypark.com/,5,lastsondentalpc@gmail.com 
"Dr. Tatiana Sveshnikova, DDS","1 Beach 105th St, Rockaway Park, NY 11694, USA",(718) 474-0007,,4.1,
Family Dental Care,"1 Beach 105th St #5, Rockaway Park, NY 11694, USA",(718) 474-0007,,4,
Brooklyn Women's Services: Boulos Catherine DDS,"9201 4th Ave #2, Brooklyn, NY 11209, USA",(718) 748-1234,,,
5th Ave Dental Associates LLP,"7815 5th Ave, Brooklyn, NY 11209, USA",(718) 745-4422,http://www.dentist-bayridge.com/,2.4,frontdesk@5thavedentistry.com
Southern Dental of Brooklyn,"9920 4th Ave, Brooklyn, NY 11209, USA",(718) 439-2988,,,
VA Medical Center: Ruggeri Mark L DDS,"800 Poly Pl, Brooklyn, NY 11209, USA",(718) 836-6600,http://www.va.gov/,,
A Center for Dental Excellence,"8510 Bay 16th St, Brooklyn, NY 11214, USA",(718) 232-8289,https://acenterfordentalexcellence.com/,4.5,
Cosmetic Dentistry Center,"7708 4th Ave, Brooklyn, NY 11209, USA",(718) 491-3100,https://www.cosmeticdentistrycenter.com/,4.6,manuella7708@gmail.com
Cosmetic Dentistry Center,"7708 4th Ave, Brooklyn, NY 11209, USA",(718) 491-3100,https://www.cosmeticdentistrycenter.com/,4.6,manuella7708@gmail.com
"Ridge Family Smiles, Angela Zavulunova DDS","8301 Ridge Blvd, Brooklyn, NY 11209, USA",(718) 333-5185,http://ridgefamilysmile.com/,4.2,team@latofonts.com;anapbm@gmail.com
Mehta Sunny DDS,"7420 6th Ave, Brooklyn, NY 11209, USA",(718) 759-9669,,5,
Mortillaro Thomas DDS,"9602 4th Ave # 2L, Brooklyn, NY 11209, USA",(718) 238-1615,http://bayridgeorthodontics.com/,4,
Tiba Dental,"466 78th St, Brooklyn, NY 11209, USA",(718) 491-6585,https://www.tibadental.com/,4.7,
Grossman Harvey P DDS,"7815 5th Ave Na, Brooklyn, NY 11209, USA",(718) 745-4422,http://5thavedental.com/,,frontdesk@5thavedentistry.com
"Pearly Whites Pediatric Dentistry,","424 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",(718) 833-2777,http://www.pearlywhitespediatricdentistry.com/,4.7,susan@pearlywhitespediatricdentistry.com
"Dr. George P. Diacoumakos, DDS","7815 5th Ave Na, Brooklyn, NY 11209, USA",(718) 745-4422,http://www.5thavedental.com/,,
5th Avenue Dentistry and Implants,"7815 5th Ave, Brooklyn, NY 11209, USA",(718) 745-4422,https://dentist-bayridge.com/,,frontdesk@5thavedentistry.com
Amen Doreen V DDS,"9721 4th Ave, Brooklyn, NY 11209, USA",(718) 836-7612,,,
Todays Dental Group,"8324 5th Ave, Brooklyn, NY 11209, USA",(718) 748-8588,http://www.todaysdentalgroup.com/,3.8,
Dr Harvey M Freed DDS,"8440 Fort Hamilton Pkwy, Brooklyn, NY 11209, USA",(718) 473-0029,,5,
"Michael Acquista, D.D.S.","479 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",(718) 238-1081,https://smilebayridge.com/,5,
Francine Setteducato,"7825 4th Ave # 1, Brooklyn, NY 11209, USA",(718) 745-0179,http://www.aestheticandimplantdentalarts.com/,,
Brooklyn Smile & Dental Implants,"9412 4th Ave, Brooklyn, NY 11209, USA",(718) 752-7429,https://www.brooklynsmile.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,4.8,
Dental Art Care,"481 83rd St, Brooklyn, NY 11209, USA",(718) 748-1122,https://www.dentalartcare.com/,4.8,
Reyes Crisostomo DDS,"345 86th St # 112, Brooklyn, NY 11209, USA",(718) 748-9444,,,
Steven H. Brenman DMD,"1311 Bay St, Staten Island, NY 10305, USA",(718) 650-2199,http://www.stevenbrenmandmd.com/,4.5,drstevenbrenman@gmail.com;u0022drstevenbrenman@gmail.com
Fort Hamilton Dental/ Dr. Aziz Ouzidane,"8853 Fort Hamilton Pkwy, Brooklyn, NY 11209, USA",(718) 238-4133,,4.5,
"Paul A. Racioppi, Jr., DDS General and Advanced Emergency Dental Services","461 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",(718) 238-1564,https://4healthnearme.com/dentist/paul-a-racioppi-jr-dds-general-and-advanced-emergency-dental-services/,4.9,
"New Wave Dentistry : Sammy Ghannoum ,D.M.D P.C.","522 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",(718) 491-5666,http://www.newwavedentistry.com/,4.5,nwd522@gmail.com
"Drs. Thomas, Lea, Penny & Melena Planzos @ Impressive Dental Care","7815 4th Ave, Brooklyn, NY 11209, USA",(718) 748-1507,https://www.impressivedentalcare.com/,5,info@impressivedentalcare.com
"Drs. Thomas, Lea, Penny & Melena Planzos @ Impressive Dental Care","7815 4th Ave, Brooklyn, NY 11209, USA",(718) 748-1507,https://www.impressivedentalcare.com/,5,info@impressivedentalcare.com
Bayridge Dental Care,"420 Ovington Ave # 1b, Brooklyn, NY 11209, USA",(718) 491-2130,,,
Frank D. Visintini DDS PC,"7710 4th Ave, Brooklyn, NY 11209, USA",(718) 748-1710,http://visintinidental.com/,4.8,drvdds@aol.com
Absolute Dental Care: Yevgeniya Gelman DDS,"7601 3rd Ave, Brooklyn, NY 11209, USA",(718) 833-3417,,4,
"Dr. Abdelhamed Tamara, DDS","466 78th St, Brooklyn, NY 11209, USA",(718) 491-6585,http://drtamaraabdelhamed.com/,2.8,
"Dominick M. Congiusta DDS, FAGD","530 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",(718) 836-2228,,5,
"Dr. Vera Pavlova, DDS","8415 4th Ave a16, Brooklyn, NY 11209, USA",(718) 836-1716,http://www.bayridgedentalgroup.com/,4.1,
Dr.Gerts Dentistry,"681 Bay St, Staten Island, NY 10304, USA",(718) 727-3333,http://gertsdental.com/,4.3,gerts743@yahoo.com
Dr.Gerts Dentistry,"681 Bay St, Staten Island, NY 10304, USA",(718) 727-3333,http://gertsdental.com/,4.3,gerts743@yahoo.com
"Best Ortho Brooklyn | Dr. Keller, DMD","7708 4th Ave, Brooklyn, NY 11209, USA",(718) 238-2151,https://www.cosmeticdentistrycenter.com/,5,manuella7708@gmail.com
"Best Ortho Brooklyn | Dr. Keller, DMD","7708 4th Ave, Brooklyn, NY 11209, USA",(718) 238-2151,https://www.cosmeticdentistrycenter.com/,5,manuella7708@gmail.com
Kasem M A DDS,"479 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",(718) 238-0592,,,
Bay Ridge Smiles Pediatric Dentistry,"9012 5th Ave, Brooklyn, NY 11209, USA",(718) 333-5898,http://www.bayridge-smiles.com/,4.6,bayridgesmilesPD@gmail.com
Santoriello and Tepedino DDS,"524 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",(718) 748-0095,https://tepdds.com/,5,filler@godaddy.com;micah@micahrich.com
Aesthetic and Implant Dental Arts PC,"7825 4th Ave, Brooklyn, NY 11209, USA",(718) 745-0179,https://www.aestheticandimplantdentalarts.com/,4.9,
"Lea Planzos, DMD, MS","7815 4th Ave, Brooklyn, NY 11209, USA",(716) 899-5791,https://www.impressivedentalcare.com/,5,info@impressivedentalcare.com
"Lea Planzos, DMD, MS","7815 4th Ave, Brooklyn, NY 11209, USA",(716) 899-5791,https://www.impressivedentalcare.com/,5,info@impressivedentalcare.com
Varon-Visintin Merryl R DDS,"7710 4th Ave, Brooklyn, NY 11209, USA",(718) 748-1710,,,
Absolute Dental PC,"7601 3rd Ave, Brooklyn, NY 11209, USA",(718) 833-3417,,3.4,
Dental Health Care,"7521 Fort Hamilton Pkwy, Brooklyn, NY 11228, USA",(718) 745-4990,,,
CJK Smiles Dental,"7510 4th Ave Suite #1, Brooklyn, NY 11209, USA",(718) 232-9559,https://7500dental.com/,3.7,office@7500dental.com
Barbara Tamulewicz,"462 Bay Ridge Pkwy, Brooklyn, NY 11209, USA",(718) 630-1015,,4.9,
Valentino & Valentino,"472 Bay Ridge Pkwy First Floor, Brooklyn, NY 11209, USA",(718) 439-7618,,5,
"Dr. Jennifer E. Noto, DMD","OVINGTON MEDICAL BUILDING, 355 Ovington Ave, Brooklyn, NY 11209, USA",(718) 836-7109,,5,
Bayridge Dental,"7218 Fort Hamilton Pkwy, Brooklyn, NY 11228, USA",(718) 836-2828,,,
"Integrated Endodontics - Wilson Duong DDS, Marie Kwok DDS","355 Ovington Ave STE 200, Brooklyn, NY 11209, USA",(718) 833-2880,http://www.iendony.com/,4.9,
Maha Y. Aldoori dentistry PC,"6805 5th Ave, Brooklyn, NY 11220, USA",(718) 745-7442,,2.9,
Oskotskaya Yelena DDS,"7101 4th Ave #1, Brooklyn, NY 11209, USA",(718) 836-1200,,5,
67th Street Dental,"283 67th St, Brooklyn, NY 11220, USA",(718) 836-9940,,3,
Barra Francis a DDS,"1501 79th St, Brooklyn, NY 11228, USA",(718) 491-9291,,1,
Mehta Pradeep DDS,"338 78th St, Brooklyn, NY 11209, USA",(718) 745-2728,,4.5,
Stuart Feintuch DDS,"238 86th St, Brooklyn, NY 11209, USA",(718) 705-5966,http://www.drfinetouch.com/,4.8,
"Dr. Jacob Lieberman, DDS","800 Poly Pl, Brooklyn, NY 11209, USA",(718) 836-6600,http://www.va.gov/,,
Lutheran Medical Center: Gargano Lynn E DDS,"6317 4th Ave, Brooklyn, NY 11220, USA",(718) 492-8233,http://www.lutheranmedicalcenter.com/,3,
Stephen Nachbar DDS,"8510 Bay 16th St, Brooklyn, NY 11214, USA",(718) 232-8289,http://www.acenterfordentalexcellence.com/,3.5,
Tzivas & Karamitsios,"368 97th St # 1F, Brooklyn, NY 11209, USA",(718) 238-1882,,,
"William H. Wolfersberger D.M.D., P.C.","655 76th St, Brooklyn, NY 11209, USA",(718) 748-5765,,4.6,
Johnson III Norman E DDS,"1777 Ocean Pkwy #1, Brooklyn, NY 11223, USA",(718) 998-9114,http://oceanparkwayoms.com/,3.7,surgeons@oceanparkwayoms.com
"ALVIN D. FRIED, DDS – Maimonides Medical Center","4802 10th Ave, Brooklyn, NY 11219, USA",(718) 283-7428,https://maimo.org/find-a-doctor/alvin-fried?utm_source=gmb&utm_medium=Yext,3,MediaInquiries@maimonidesmed.org;complaint@jcaho.org;hospinfo@health.state.ny.us
New York Center For Comestic,"1644 E 14th St, Brooklyn, NY 11229, USA",(718) 998-1818,,,
Ocean Avenue Dental,"1401 Ocean Ave, Brooklyn, NY 11230, USA",(718) 258-3462,http://www.oceanavenuedental.com/,,
Precision Implant Care | Dr. Robert Mikhli,"1711 Avenue P, Brooklyn, NY 11229, USA",(718) 376-9600,http://www.precisionimplantcare.com/,4.8,precisionimplantcare@gmail.com
Yelena Vaysman D.D.S.,"1201 Ocean Pkwy, Brooklyn, NY 11230, USA",(718) 554-7798,http://www.fivestardental.com/,4.6,service@fivestardental.com
"Dr. Mitchell M. Yeh, DMD","837 58th St, Brooklyn, NY 11220, USA",(718) 686-9888,,5,
"Dr. Shlomo S. Frankel, DDS","4802 10th Ave, Brooklyn, NY 11219, USA",(718) 283-6000,http://www.maimonidesmed.org/,,MediaInquiries@maimonidesmed.org;complaint@jcaho.org;hospinfo@health.state.ny.us
"Dr. Shlomo S. Frankel, DDS","4802 10th Ave, Brooklyn, NY 11219, USA",(718) 283-6000,http://www.maimonidesmed.org/,,MediaInquiries@maimonidesmed.org;complaint@jcaho.org;hospinfo@health.state.ny.us
Fields Mitchell R DDS,"455 Ocean Pkwy, Brooklyn, NY 11218, USA",(718) 469-7536,,5,
Gorin Orthodontics - Brooklyn,"303 Beverley Rd, Brooklyn, NY 11218, USA",(718) 412-9452,https://gorinortho.com/,4.9,johndoe@aol.com
Gertsberg Yuly DDS,"1720 E 13th St suit 1, Brooklyn, NY 11229, USA",(718) 998-2929,,3.6,
Rubin Dental & Implant Center,"2469 65th St, Brooklyn, NY 11204, USA",(718) 382-8708,https://718implants.com/,4.8,718implants@gmail.com
AmeriSmile Dental PC,"7101 Bay Pkwy Ste. 1J, Brooklyn, NY 11204, USA",(718) 232-8922,https://www.amerismiledental.com/,5,
Bensonhurst Dental Care,"1872 80th St, Brooklyn, NY 11214, USA",(718) 234-3434,http://www.bensonhurstdentalcare.com/,4.8,
Pediatric Dental Associates PC,"2120 Ocean Ave, Brooklyn, NY 11229, USA",(718) 416-9611,http://kcdh.org/,1.8,
"Dr. Alan B. Kohn, DDS","800 Ocean Pkwy, Brooklyn, NY 11230, USA",(718) 633-4963,https://kkdentalpllc.com/staff/dr-alan-b-kohn/,5,
Envy Smile Dental Spa,"1738 E 13th St, Brooklyn, NY 11229, USA",(718) 891-0606,https://www.envysmile.com/,4.7,drweiner@envysmile.com;marianna.weiner@gmail.com
"Dr. Nicholle H. Shon, DDS","4802 10th Ave, Brooklyn, NY 11219, USA",(718) 283-6000,https://www.doctorsnetwork.com/doctors/general-dentists/brooklyn-ny-01121/invite-nicholle-shon-dds-6245,,
"RENA KRAVITZ, DDS – Maimonides Medical Center","4305 13th Ave, Brooklyn, NY 11219, USA",(718) 283-2085,https://maimo.org/find-a-doctor/rena-kravitz?utm_source=gmb&utm_medium=Yext,5,MediaInquiries@maimonidesmed.org;complaint@jcaho.org;hospinfo@health.state.ny.us
All American Smile Dental Studios,"624 Kings Hwy, Brooklyn, NY 11223, USA",(718) 336-1109,http://www.benjamindds.com/,4.8,info@benjamindds.com
All American Smile Dental Studios,"624 Kings Hwy, Brooklyn, NY 11223, USA",(718) 336-1109,http://www.benjamindds.com/,4.8,info@benjamindds.com
Brilliant Dental PC,"837 58th St APT 6, Brooklyn, NY 11220, USA",(718) 686-9888,http://www.brilliantdentalpc.com/,2.8,user@domain.com
"Dr. Peter M. Harrison, DDS","8717 21st Ave, Brooklyn, NY 11214, USA",(718) 372-7277,https://harrisondentalpc.com/,4.9,harrisondental@gmail.com
"Dental Office of Dr. Tracey H. Joseph, DDS","1655 Flatbush Ave a104, Brooklyn, NY 11210, USA",(718) 377-1319,http://www.brooklynfamilydds.com/,4.9,
Alekseyeva Anna DDS,"2748 Ocean Ave floor 2, Brooklyn, NY 11229, USA",(347) 587-4448,https://www.aradvanceddental.com/,4.2,ardentalgroup@yahoo.com
"Dr. Lyubov Litvin, DDS","1220 Avenue P, Brooklyn, NY 11229, USA",(718) 376-1004,,,
"David J Kurtz, DDS","2718 Ocean Ave a4, Brooklyn, NY 11229, USA",(718) 332-8404,,5,
8th Ave Family Dental PC,"837 58th St, Brooklyn, NY 11220, USA",(718) 686-8886,,2.5,
Kensington Dental Association,"207 Ocean Pkwy Ste 1j, Brooklyn, NY 11218, USA",(718) 436-9245,,2.3,
Dental Office of Midwood,"1901 Avenue N Suite 1, Brooklyn, NY 11230, USA",(718) 382-8804,,,
Westrich Herbert S DDS,"1401 Ocean Ave # 5I, Brooklyn, NY 11230, USA",(718) 258-3462,,,
Weiss Stanley I MD,"1401 Ocean Ave # 5K, Brooklyn, NY 11230, USA",(718) 258-3462,,,
Chueng Victor DDS,"837 58th St #1FL, Brooklyn, NY 11220, USA",(718) 686-8886,,,
Goodman Wendy DDS,"1590 E 19th St, Brooklyn, NY 11230, USA",(718) 339-3297,,,
Dr. Ivetta Krol,"2102 Bay Ridge Pkwy, Brooklyn, NY 11204, USA",(718) 259-3828,http://www.dentalartsbrooklyn.com/,3.7,
Passaj Consulting Group Inc,"749 Ocean Pkwy, Brooklyn, NY 11230, USA",,http://www.dependableny.com/,,info@diiny.com
Rossinsky Anatoly DDS,"980 E 12th St #2, Brooklyn, NY 11230, USA",(718) 377-3222,http://www.bartovdmd.com/,,
"Jonathan S. Korngold, DDS","1801 Avenue M, Brooklyn, NY 11230, USA",(718) 252-8989,https://www.dental-brooklyn.com/,3,
"Mark Lefkovitz, DDS","5019 20th Ave, Brooklyn, NY 11204, USA",(718) 951-3900,,4.6,
Young Wai-Ming K DDS,"837 58th St #1, Brooklyn, NY 11220, USA",(718) 686-8886,,1.9,
Ramras Harry DDS,"1599 E 15th St, Brooklyn, NY 11230, USA",(718) 375-1133,,,
"Dr. Jack E. Mitchell, DDS","1170 Ocean Ave, Brooklyn, NY 11230, USA",(718) 783-2260,,,
Always Smile Dental,"1580 Dahill Rd 1st floor, Brooklyn, NY 11204, USA",(718) 998-8889,http://www.alwayssmile-dental.com/,4.8,
Benjamin Maurice J DDS,"624 Kings Hwy, Brooklyn, NY 11223, USA",(718) 336-1109,http://benjamindds.com/,4,info@benjamindds.com
"Dr. Daniel J. Steinberg, DMD","405 Avenue I, Brooklyn, NY 11230, USA",(718) 377-8346,http://718yourdds-dmd.com/,5,
Teper Emmanuil S DDS,"1310 Avenue R Ste 1d, Brooklyn, NY 11229, USA",(718) 676-1689,,5,
Brooklyn Endodontics,"1407 Avenue P, Brooklyn, NY 11229, USA",(718) 998-4747,https://www.brooklynrootcanal.com/,4.6,
Tawil Dental,"345 Kings Hwy, Brooklyn, NY 11223, USA",(718) 236-1234,https://www.tawildds.com/,4.9,
Gemini Dental - Dr. Michael Genco DDS - Bensonhurst Brooklyn,"2155 82nd St, Brooklyn, NY 11214, USA",(718) 232-4155,https://geminidental.com/,4.9,geminidental82@yahoo.com;geminidental@optonline.net
Ferriola Jeannine DDS,"1701 Bay Ridge Pkwy, Brooklyn, NY 11204, USA",(718) 236-0769,,4.8,
Zhukovsky Dental,"1812 Quentin Rd Ste M1, Brooklyn, NY 11229, USA",(718) 376-3074,https://www.drzdental.com/,4.9,
Q Sani,"8625 18th Ave, Brooklyn, NY 11214, USA",(718) 621-9920,,,
World of Health,"1706 Avenue M # 2, Brooklyn, NY 11230, USA",(718) 395-4737,,4,
"Dr. Tatyana Fridman, DDS","5412 Kings Plz, Brooklyn, NY 11234, USA",(718) 258-0011,,,
Pediatric Dentistry on Kimball,"2270 Kimball St #202, Brooklyn, NY 11234, USA",(718) 253-0888,https://pediatricdentistryonkimball.com/,4.2,Kimballpediatricdentistry@gmail.com;kimballpediatricdentistry@gmail.com
"Rachel Karni, DDS","2035 Ralph Ave, Brooklyn, NY 11234, USA",(718) 763-4522,,2.8,
Oral Surgery - All Insurances Accepted,"8306 Flatlands Ave, Brooklyn, NY 11236, USA",(718) 769-6622,,3.6,
Be Well Primary Health Care Center,"3007 Farragut Rd, Brooklyn, NY 11210, USA",(718) 253-9355,http://www.bewellmedical.com/,3.8,
Peter Lucchese DDS,"3915 Avenue V #204, Brooklyn, NY 11234, USA",(718) 338-4800,,,
"Ranu Sinha, DMD Orthodontist","3915 Avenue V, Brooklyn, NY 11234, USA",(718) 338-4800,,,
