Name,Category,Phone,Email,Website,Address,general_info,Source,
Top Wise Logistics Inc,"Public & Commercial Warehouses, Warehouses-Merchandise",(916) 564-4646,,,"6800 Watcher St,  Commerce, CA 90040",,yellowpage,
21st Century Storage,"Self Storage, Cold Storage Warehouses, Public & Commercial Warehouses",(949) 485-2706,,https://modstorage.com/,"4161 Pell Dr,  Sacramento, CA 95838",,yellowpage,
San Juan Capistrano Self Storage,"Self Storage, Automobile Storage, Boat Storage",(818) 260-9717,pouchadmin@pouchselfstorage.com,https://www.pouchselfstorage.com/26411-via-de-anza-san-juan-capistrano-ca-92675,"26411 Via De Anza,  San Juan Capistrano, CA 92675","Serving San Juan Since 1979; Monitored & Alarmed Doors; Packing & Moving Supplies; Reservations & Payments On Line; Unit Sizes to Accommodate every Budget; Knowledgeable & Professional Staff; Secure Document Shredding On Site; Drive-Up Access. 
  
 THE POUCH SELF STORAGE SPECIALISTS. Pouch Self Storage & RV Centers has been operating mini storage facilities since 1979. The principal of Pouch Self Storage is a pioneer in self storage and mini storage since 1969 and is the original innovator of the ""We Move You Free"" program. Pouch Self Storage provides clean, modern and secure space for Personal or Business items at facilities designed specifically for your self storage needs. Pouch provides the most advanced security with state-of-the-art computer monitoring. Only the Self Storage Specialists at Pouch offer a 100% SATISFACTION GUARANTEE and strive to make every move ""As Easy As it Should Be"". 
  
 San Juan Capistrano Self Storage Features 
  
 Includes: 
  Access 7 Days a Week 
  24 Hour Security Monitoring 
  Deliveries Accepted 
  Free Truck and Driver 
  Ground Level Units 
  Individually Alarmed Units 
  Major Credit Cards Accepted 
  Military, Student & Senior Discounts 
  Month to Month Rentals 
  No Deposits 
  Online Bill Payment 
  We Sell Boxes, Locks & Moving Supplies 
  Tenant Insurance Required",yellowpage,
Pmb Burbank 1,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(714) 780-1722,admin@pmbres.com,http://pmbres.com/,"201 S Buena Vista St,  Burbank, CA 91505",,yellowpage,
Reliable Cold Storage,"Self Storage, Cold Storage Warehouses, Public & Commercial Warehouses",(323) 318-7040,,http://www.reliablecoldstorage.com/,"1301 S Sunkist St,  Anaheim, CA 92806","Freezer, Cooler, Dry Storage Space",yellowpage,
CMA Warehouse,"Public & Commercial Warehouses, Warehouses-Merchandise",(213) 327-0076,,http://www.e-npw.com/,"4400 Bandini Blvd,  Vernon, CA 90058",,yellowpage,
Polymond Dk,"Public & Commercial Warehouses, Warehouses-Merchandise",(909) 890-9700,millibon@millibon.com,,"1155 E Pico Blvd,  Los Angeles, CA 90021",,yellowpage,
Western Drug Medical Supply,"Warehouses-Merchandise, Public & Commercial Warehouses",(661) 726-5157,,https://www.westerndrug.com/,"114 E Airport Dr,  San Bernardino, CA 92408",,yellowpage,
Ilwu,"Public & Commercial Warehouses, Warehouses-Merchandise",(909) 740-3488,,,"43535 17th St W,  Lancaster, CA 93534",,yellowpage,
Trojan Self Storage,"Self Storage, Boat Storage, Cold Storage Warehouses",(909) 475-0055,tswo@trojanstorage.com,http://trojanstorage.com/locations/ontario-california-91762,"701 S Palmetto Ave,  Ontario, CA 91762","Trojan Storage is committed to providing a first class storage experience for all of our customers with state of the art security features including individual door alarms, keypad access gates and cameras systems. Our friendly staff is dedicated to maintaining the cleanest and well-lit facilities with competitive prices to best serve our customers. All of our stores are modernized with all the amenities possible to ensure we can meet your needs regardless if you are storing personal items or business goods. Before you choose a storage facility, come visit our locations so that we can show you our promise of maintaining the highest quality in the industry.",yellowpage,
Trojan Self Storage,"Storage Household & Commercial, Automobile Storage, Boat Storage",(760) 370-0269,tson@trojanstorage.com,http://trojanstorage.com/locations/ontario-california-91761,"1253 E Holt Blvd,  Ontario, CA 91761","Trojan Storage is committed to providing a first class storage experience for all of our customers with state of the art security features including individual door alarms, keypad access gates and cameras systems. Our friendly staff is dedicated to maintaining the cleanest and well-lit facilities with competitive prices to best serve our customers. All of our stores are modernized with all the amenities possible to ensure we can meet your needs regardless if you are storing personal items or business goods. Before you choose a storage facility, come visit our locations so that we can show you our promise of maintaining the highest quality in the industry.",yellowpage,
Tucker Mini Storage,"Storage Household & Commercial, Cold Storage Warehouses, Public & Commercial Warehouses",(562) 408-4565,,http://tuckerautobody.com/,"463 W Aten Rd,  Imperial, CA 92251",Storage units. Containers and RV storage.,yellowpage,
Potrero Western Wear Inc,"Warehouses-Merchandise, Public & Commercial Warehouses",(661) 636-6588,,,"14042 Garfield Ave,  Paramount, CA 90723",,yellowpage,
Budget Self Storage,"Self Storage, Cold Storage Warehouses, Public & Commercial Warehouses",(562) 630-4803,,http://usstoragecenters.com/,"41843 10th St W,  Palmdale, CA 93551","Whether you are moving your household, need to clear out your basement or need more storage space for your business, we can help. Budget Self Storage offers quality service with a touch of California hospitality in a clean and well-maintained facility. All of our facilities are clean and well maintained. We promise quality, friendly service. Our experienced staff will be happy to assist you with any questions you may have in regards to all your business or personal storage needs.",yellowpage,
Zamora's Warehouse,"Public & Commercial Warehouses, Warehouses-Merchandise",(760) 357-9554,,http://paramount-warehouse-ca.hub.biz/,"14039 Garfield Ave,  Paramount, CA 90723",,yellowpage,
Imexo Incorp,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(310) 670-1717,,http://con-way.com/,"389 Rood Rd,  Calexico, CA 92231",,yellowpage,
Geo Network,"Public & Commercial Warehouses, Warehouses-Merchandise",(909) 546-3252,,,"9085 S La Cienega Blvd,  Inglewood, CA 90301",,yellowpage,
Lineage,"Cold Storage Warehouses, Public & Commercial Warehouses",(310) 661-8488,,https://www.onelineage.com/,"2551 S Lilac Ave,  Bloomington, CA 92316","Lineage Logistics is reimagining the world’s food supply chain by preserving, protecting, and optimizing the distribution of food.",yellowpage,
Jupiter Warehouse & Distribution,"Warehouses-Merchandise, Public & Commercial Warehouses",(949) 273-0224,,,"16325 S Avalon Blvd,  Gardena, CA 90248",,yellowpage,
US Storage Centers - Laguna Hills,"Self Storage, Automobile Storage, Boat Storage",(909) 863-9001,lagunahills@usstorage.net,https://www.usstoragecenters.com/self-storage/california/laguna-hills/us-storage-centers/2,"23370 Moulton Parkway,  Laguna Hills, CA 92653",,yellowpage,
SecurCare Self Storage,"Storage Household & Commercial, Public & Commercial Warehouses, Self Storage",(213) 745-2500,customerservice@nsabrands.com,https://www.nsastorage.com/storage/california/storage-units-highland/26441-highland-ave-307,"26441 Highland Ave,  Highland, CA 92346","SecurCare Self Storage offers convenient and affordable self storage units in Highland. Whether youre looking for easily accessible drive-up storage units or indoor climate controlled units, youll find a home with us. Our facility features gated access with extended hours, well-lit grounds, and wide aisles for convenient truck access. Store with SecurCare Self Storage and see why our units are ideal to suit your storage needs. Visit us at 26441 Highland Avenue today to rent your space. SecurCare Self Storage is an NSA Storage brand and facility.",yellowpage,
Sourcing Theory,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(213) 489-8915,info@sourcingtheory.com,http://sourcingtheory.com/,"1344 S Flower St,  Los Angeles, CA 90015",,yellowpage,
Lydia USA,"Public & Commercial Warehouses, Warehouses-Merchandise",(909) 875-3840,info@lydiausa.com,http://lydiausa.com/,"814 E 9th St,  Los Angeles, CA 90021",,yellowpage,
SecurCare Self Storage,"Storage Household & Commercial, Public & Commercial Warehouses, Self Storage",(909) 425-1080,customerservice@nsabrands.com,https://www.nsastorage.com/storage/california/storage-units-bloomington/1377-s-lilac-ave-302,"1377 S Lilac Ave,  Bloomington, CA 92316","SecurCare Self Storage offers convenient and affordable self storage units in Bloomington. If you're looking for uncovered parking for vehicle storage, you'll find a storage unit to fit your needs with us. We make self storage easy with extended gate hours, well-lit grounds and secure facilities. Store with SecurCare Self Storage and see why our units are the ideal place for all your storage needs. Come visit us at 1377 South Lilac. SecurCare Self Storage is an NSA Storage brand and facility.",yellowpage,
SecurCare Self Storage,"Storage Household & Commercial, Public & Commercial Warehouses, Self Storage",(213) 742-0064,sss0313@securcare.com,https://www.nsastorage.com/storage/california/storage-units-highland/2650-e-highland-ave-306,"2650 Highland Ave,  Highland, CA 92346","SecurCare Self Storage offers convenient and affordable self storage units in Highland. Whether youre looking for easily accessible drive-up storage units or indoor climate controlled units, youll find a home with us. Our facility features gated access with extended hours, well-lit grounds, and wide aisles for convenient truck access. Store with SecurCare Self Storage and see why our units are ideal to suit your storage needs. Visit us at 2650 East Highland Avenue today to rent your space. SecurCare Self Storage is an NSA Storage brand and facility.",yellowpage,
Polymond Dk,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(909) 222-1944,millibon@millibon.com,https://millibon.com/index.php?controller=authentication,"1017 E 14th St,  Los Angeles, CA 90021",,yellowpage,
Tactical Logistic Solutions,"Public & Commercial Warehouses, Logistics, Storage Household & Commercial",(714) 662-0726,,http://tacticallogistic.com/,"1670 Etiwanda Ave,  Ontario, CA 91761",,yellowpage,
Waco Products,"Public & Commercial Warehouses, Warehouses-Merchandise",(949) 222-0680,,,"1820 S Grand Ave,  Santa Ana, CA 92705",,yellowpage,
Sprint Diagnostics,"Public & Commercial Warehouses, Warehouses-Merchandise",(951) 656-1590,,http://sprint.com/,"1820 Carnegie Ave,  Santa Ana, CA 92705",,yellowpage,
SecurCare Self Storage,"Storage Household & Commercial, Public & Commercial Warehouses, Self Storage",(661) 387-9058,sss0304@securcare.com,https://www.nsastorage.com/storage/california/storage-units-riverside/2020-mt-baldy-dr-299,"2020 Mount Baldy Dr,  Riverside, CA 92508","SecurCare Self Storage offers convenient and affordable self storage units in Riverside. Whether youre looking for easily accessible drive-up storage units or indoor climate controlled units, youll find a home with us. Our facility features gated access with extended hours, well-lit grounds, and wide aisles for convenient truck access. Store with SecurCare Self Storage and see why our units are ideal to suit your storage needs. Visit us at 2020 Mount Baldy Drive today to rent your space. SecurCare Self Storage is an NSA Storage brand and facility.",yellowpage,
Wellhead Systems Inc,"Public & Commercial Warehouses, Warehouses-Merchandise",(626) 279-1622,,,"2512 Pegasus Dr,  Bakersfield, CA 93308",,yellowpage,
Eurmax Canopy Inc,"Public & Commercial Warehouses, Warehouses-Merchandise",(562) 926-0777,service@eurmax.com,http://eurmax.com/,"9460 Telstar Ave,  El Monte, CA 91731",,yellowpage,
Phoenix Warehouse-California,"Public & Commercial Warehouses, Warehouses-Merchandise",(323) 695-9700,,,"16012 Arthur St,  Cerritos, CA 90703",,yellowpage,
"FST Logistics, LLC","Mail-Order Fulfillment Service, Public & Commercial Warehouses, Solar Energy Equipment & Systems-Manufacturers & Distributors",(951) 279-0550,info@fstlogisticsllc.com,,"5390 Rickenbacker Rd,  Bell Gardens, CA 90201",,yellowpage,
Integrated Warehouse Solutions,"Public & Commercial Warehouses, Warehouses-Merchandise",(909) 887-4514,,https://www.iwswest.com/faqs,"1700 Hamner Ave,  Norco, CA 92860",,yellowpage,
Black Ridge-Hallmark,"Public & Commercial Warehouses, Warehouses-Merchandise",(818) 767-7210,,,"4695 Hallmark Pkwy,  San Bernardino, CA 92407",,yellowpage,
Lioher Pacific,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(909) 947-1520,,http://lioherpacific.com/contact-us,"11759 Sheldon St,  Sun Valley, CA 91352",,yellowpage,
Global Tac Warehouse Inc,"Public & Commercial Warehouses, Self Storage, Storage Household & Commercial",(213) 489-1710,ckchoi@globaltacwarehouse.com,http://www.globaltacwarehouse.com/,"2620 E Francis St,  Ontario, CA 91761",,yellowpage,
Corner Clothing Inc.,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(909) 342-6385,,,"765 Kohler St,  Los Angeles, CA 90021",,yellowpage,
A Storage Place,"Storage Household & Commercial, Cold Storage Warehouses, Movers & Full Service Storage",(626) 872-0201,scott@astorage.com,https://www.astorageplace.com/self-storage/ca/chino/storage-place-of-el-prado,"15621 Dupont Ave,  Chino, CA 91710","Are your closets and garage at capacity? Are your businessâ??s promotional materials taking over your operating space? With an affordable storage rental from A Storage Place, you can reclaim your space. Our facility in Chino, California, has all the features you need to make your move easy, including access 7 days a week, individual door alarms, and move-in specials. Our facility is simple to access and convenient to major roadways including El Prado Road and State Route 71. Get organized today. Give us a call and weâ??ll help you find the perfect space for your needs.",yellowpage,
S & D Usa,"Public & Commercial Warehouses, Warehouses-Merchandise",(714) 738-6227,,,"812 S Date Ave,  Alhambra, CA 91803",,yellowpage,
Hannam Traders,"Warehouses-Merchandise, Public & Commercial Warehouses",(650) 952-6464,,,"2300 Raymer Ave,  Fullerton, CA 92833",,yellowpage,
Mateo Avenue Mini-Storage,"Self Storage, Cold Storage Warehouses, Public & Commercial Warehouses",(323) 583-1128,,http://mateoavenueministorage.placeweb.site/,"1162 San Mateo Ave,  South San Francisco, CA 94080",,yellowpage,
Farm Fresh Produce,"Public & Commercial Warehouses, Warehouses-Merchandise",(951) 782-0024,,http://www.farmfreshproduceca.com/visit_us,"4593 E 49th St,  Vernon, CA 90058",,yellowpage,
Dinastia Cardona,"Public & Commercial Warehouses, Warehouses-Merchandise",(661) 873-4960,,,"2798 Main St,  Riverside, CA 92501",,yellowpage,
Bakersfield Outlet Wholesale & Retail,"Public & Commercial Warehouses, Warehouses-Merchandise",(310) 715-1334,,,"600 Union Ave,  Bakersfield, CA 93307",,yellowpage,
Jose J Latta,"Public & Commercial Warehouses, Warehouses-Merchandise",(714) 285-9544,,,"13208 Estrella Ave,  Gardena, CA 90248",,yellowpage,
Rick Kagasoff,"Public & Commercial Warehouses, Warehouses-Merchandise",(760) 433-3499,,,"400 Nantucket Pl,  Santa Ana, CA 92703",,yellowpage,
First Industrial Financing Partnership LP,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(323) 268-2803,,,"3841 Ocean Ranch Blvd,  Oceanside, CA 92056",,yellowpage,
Makeup She Inc,"Warehouses-Merchandise, Public & Commercial Warehouses",(909) 799-0351,,https://www.makeupshe.com/,"4726 E 26th St,  Vernon, CA 90058",,yellowpage,
"J.D. LOGISTICS, INC.","Logistics, Public & Commercial Warehouses, Transportation Services",(650) 589-3116,kristin@jdlogisticsinc.com,,"1460 Mountain View Ave,  Redlands, CA 92374","J.D. Logistic, Inc. offers long or short terms storage to our existing and future Customers. Located in a HUBZone and being a Certified WBENC is another attribute that enhances our services. Some of the features include: • Cross-docking and Freight consolidation • Inside/outside video surveillance/security • Supply chain management • Drayage services • Dedicated warehousing • Gated and secure lot • Container unloading and loading",yellowpage,
San Bruno Storage,"Cold Storage Warehouses, Public & Commercial Warehouses, Storage Household & Commercial",(714) 835-2298,lisa@sanbrunostorage.com,http://www.sanbrunostorage.com/,"1167 Montgomery Ave,  San Bruno, CA 94066",We are an ALL indoor self storage facility offering units for rent in a wide range of sizes on a month to month basis. OUR facility is under 24 hour camera surveillance indoors and outside. We have an UP to date security system with each unit having its OWN alarm. Access hours to are from 6:00 A. M. To 10:00 P. M. . 365 days a year.,yellowpage,
American Warehouse Stationery Office & Computer Supplies,"Public & Commercial Warehouses, Warehouses-Merchandise",(310) 328-8110,,,"1404 Ritchey St Ste D,  Santa Ana, CA 92705",,yellowpage,
Metro Air Service,"Public & Commercial Warehouses, Warehouses-Merchandise",(310) 856-0150,,,"1451 W Knox St,  Torrance, CA 90501",,yellowpage,
Anthonys Warehouse,"Public & Commercial Warehouses, Warehouses-Merchandise",(909) 231-6012,,,"15914 S Avalon Blvd,  Compton, CA 90220",,yellowpage,
Saint George Warehouse,"Public & Commercial Warehouses, Warehouses-Merchandise",(951) 674-1601,,,"15996 Jurupa Ave,  Fontana, CA 92337",,yellowpage,
Machado Storage,"Storage Household & Commercial, Automobile Storage, Boat Storage",(619) 934-9476,fac1482@extraspace.com,https://www.machadostorage.net/,"16401 Lakeshore Dr,  Lake Elsinore, CA 92530",,yellowpage,
Valverde Warehouse,"Public & Commercial Warehouses, Warehouses-Merchandise",(661) 748-1098,,http://valverde.com.mx/,"8640 Siempre Viva Rd,  San Diego, CA 92154",,yellowpage,
Cas Logistics,"Logistics, Public & Commercial Warehouses, Warehouses-Merchandise",(661) 834-6475,,,"3925 E Brundage Ln,  Bakersfield, CA 93307",,yellowpage,
SecurCare Self Storage,"Storage Household & Commercial, Public & Commercial Warehouses, Self Storage",(661) 366-1246,customerservice@nsabrands.com,https://www.nsastorage.com/storage/california/storage-units-bakersfield/4020-wible-rd-315,"4020 Wible Rd,  Bakersfield, CA 93309","SecurCare Self Storage offers convenient and affordable self storage units in Bakersfield. If youre looking for easily accessible drive-up storage units youll find a home with us. Our facility features gated access with extended hours, well-lit grounds, and wide aisles for convenient truck access. Store with SecurCare Self Storage and see why our units are ideal to suit your storage needs. Visit us at 4020 Wible Road today to rent your space. SecurCare Self Storage is an NSA Storage brand and facility.",yellowpage,
SecurCare Self Storage,"Storage Household & Commercial, Public & Commercial Warehouses, Self Storage",(661) 322-7834,customerservice@nsabrands.com,https://www.nsastorage.com/storage/california/storage-units-bakersfield/711-weedpatch-hwy-312,"711 Weedpatch Hwy,  Bakersfield, CA 93307","SecurCare Self Storage offers convenient and affordable self storage units in Bakersfield. If you're looking for uncovered parking for vehicle storage, you'll find a storage unit to fit your needs with us. We make self storage easy with extended gate hours, well-lit grounds and secure facilities. Store with SecurCare Self Storage and see why our units are the ideal place for all your storage needs. Come visit us at 711 Weedpatch Highway. SecurCare Self Storage is an NSA Storage brand and facility.",yellowpage,
SecurCare Self Storage,"Storage Household & Commercial, Public & Commercial Warehouses, Self Storage",(661) 326-0317,customerservice@nsabrands.com,https://www.nsastorage.com/storage/california/storage-units-bakersfield/4050-chester-ave-316,"4050 Chester Ave,  Bakersfield, CA 93301","SecurCare Self Storage offers convenient and affordable self storage units in Bakersfield. If youre looking for easily accessible drive-up storage units youll find a home with us. Our facility features gated access with extended hours, well-lit grounds, and wide aisles for convenient truck access. Store with SecurCare Self Storage and see why our units are ideal to suit your storage needs. Visit us at 4050 Chester Ave today to rent your space. SecurCare Self Storage is an NSA Storage brand and facility.",yellowpage,
SecurCare Self Storage,"Storage Household & Commercial, Public & Commercial Warehouses, Self Storage",(661) 324-2108,customerservice@nsabrands.com,https://www.nsastorage.com/storage/california/storage-units-bakersfield/600-s-oswell-st-313,"600 S Oswell St,  Bakersfield, CA 93307","SecurCare Self Storage offers convenient, affordable self storage units in Bakersfield. If you're looking for easily accessible drive-up storage units or secure vehicle storage, you'll find a home with us. Our well-lit facility features extended hours and wide aisles for convenient, easy access. Rent with SecurCare at 600 S Oswell St today and see why our cashless facility is ideal to suit your storage needs. SecurCare Self Storage is an NSA Storage brand.",yellowpage,
SecurCare Self Storage,"Storage Household & Commercial, Public & Commercial Warehouses, Self Storage",(661) 947-7589,customerservice@nsabrands.com,https://www.nsastorage.com/storage/california/storage-units-bakersfield/3301-truxtun-ave-317,"3301 Truxtun Ave,  Bakersfield, CA 93301","SecurCare Self Storage offers convenient and affordable self storage units in Bakersfield. Whether youre looking for easily accessible drive-up storage units or indoor climate controlled units, youll find a home with us. Our facility features gated access with extended hours, well-lit grounds, and wide aisles for convenient truck access. Store with SecurCare Self Storage and see why our units are ideal to suit your storage needs. Visit us at 3301 Truxton Ave today to rent your space. SecurCare Self Storage is an NSA Storage brand and facility.",yellowpage,
SecurCare Self Storage,"Storage Household & Commercial, Public & Commercial Warehouses, Recreational Vehicles & Campers-Storage",(949) 529-5444,customerservice@nsabrands.com,https://www.nsastorage.com/storage/california/storage-units-palmdale/37909-10th-st-e-309,"37909 10th St E,  Palmdale, CA 93550","SecurCare Self Storage offers convenient, affordable self storage units in Palmdale. If you're looking for easily accessible drive-up storage, climate controlled storage units, or secure vehicle storage, you'll find a home with us. Our well-lit facility features extended hours and wide aisles for convenient, easy access. Rent with SecurCare at 37909 10th St E today and see why our cashless facility is ideal to suit your storage needs. SecurCare Self Storage is an NSA Storage brand and facility.",yellowpage,
US Storage Centers,"Self Storage, Boat Storage, Cold Storage Warehouses",(818) 249-5300,costamesa@usstorage.net,https://www.usstoragecenters.com/storage-units/ca/costa-mesa/1600-superior-ave,"1600 Superior Ave,  Costa Mesa, CA 92627",,yellowpage,
Nortech Industries,"Public & Commercial Warehouses, Warehouses-Merchandise",(909) 514-1608,,,"3131 Foothill Blvd,  La Crescenta, CA 91214",,yellowpage,
Safetysteptd Inc.,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(949) 340-6726,,,"9129 Magnolia Ave,  Riverside, CA 92503",,yellowpage,
American Warehouse,"Warehouses-Merchandise, Public & Commercial Warehouses",(951) 356-8085,,http://americanwhs.com/,"1513 W Alton Ave,  Santa Ana, CA 92704",,yellowpage,
International Distribution Logistics,"Shipping Services, Air Ambulance Service, Business & Trade Organizations",(323) 728-2844,info@idlus.com,http://www.idlus.com/,"24000 Alicia Pkwy Suite 17-266,  Mission Viejo, CA 92691","We will ship anything, anywhere, anytime. We are priced competitively and are commercial business only.",yellowpage,
Capo Fireside,"Public & Commercial Warehouses, Warehouses-Merchandise",(909) 391-2223,,http://www.artisanseriesbycapofireside.com/locations,"1901 Sampson Ave,  Corona, CA 92879",,yellowpage,
Premium H2,"Public & Commercial Warehouses, Warehouses-Merchandise",(310) 768-1333,,,"5835 E 61st St,  Commerce, CA 90040",,yellowpage,
QVC Inc,"Warehouses-Merchandise, Public & Commercial Warehouses",(559) 897-9401,,http://www.qvc.com/,"853 Qvc Way,  Ontario, CA 91764",,yellowpage,
Nu Born Express,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(714) 871-0570,,http://www.nubornexpress.com/NuBornExpress/Default.aspx?tab=ContactsControl,"17103 Kingsview Ave,  Carson, CA 90746",,yellowpage,
Kingsburg Kold Storage,"Cold Storage Warehouses, Public & Commercial Warehouses",(909) 923-8787,ron@kingsburgkold.com,,"201 W Stroud Ave,  Kingsburg, CA 93631",,yellowpage,
Logistic Edge,"Warehouses-Merchandise, Public & Commercial Warehouses",(909) 887-1287,,http://logisticedge.com/,"3963 Workman Mill Rd,  Whittier, CA 90601",,yellowpage,
Smart Warehousing,"Warehouses-Merchandise, Public & Commercial Warehouses",(760) 768-8483,,http://www.smartwarehousing.com/,"1775 Pointe Ave,  Ontario, CA 91761",,yellowpage,
Warehouse Services,"Public & Commercial Warehouses, Warehouses-Merchandise",(818) 786-0622,,http://autoaccessorywarehouse.net/,"444 Athol St,  San Bernardino, CA 92401",,yellowpage,
Jrz Distribution,"Warehouses-Merchandise, Public & Commercial Warehouses",(530) 542-1702,,,"2420 Portico Blvd,  Calexico, CA 92231",,yellowpage,
Pink Dolphin Clothing,"Public & Commercial Warehouses, Warehouses-Merchandise",(323) 583-5036,,https://www.pinkdolphinonline.com/pages/privacy-policy,"6907 Hayvenhurst Ave,  Van Nuys, CA 91406",,yellowpage,
South Lake Tahoe Mini Storage,"Self Storage, Automobile Storage, Boat Storage",(714) 835-8445,sltunits@gmail.com,http://www.marinministorage.com/,"1748 D St,  South Lake Tahoe, CA 96150",,yellowpage,
Exxtra Exxpress,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(323) 584-6871,,,"3151 Fruitland Ave,  Vernon, CA 90058",,yellowpage,
Santa Ana Mini Storage,"Self Storage, Automobile Storage, Boat Storage",(209) 722-9840,,http://www.selfstoragesantaana.com/,"401 N Fairview St,  Santa Ana, CA 92703","Located in Orange County, California, Santa Ana Mini Storage provides flexible storage solutions to the Santa Ana area. We’re easily accessible from Highway 22 and I-5 and serve the surrounding communities of Garden Grove, Westminster, Fountain Valley, and Anaheim. Stop by today for a tour of our clean Santa Ana storage facility! 
  
 After 32 years in the self storage industry, we have the experience to offer you professional advice when it comes to your self storage needs. We have the lowest prices around, starting at $55.00, and offer a variety of storage options from ground level units with roll up doors to a place to park your boat while you’re not out sailing on the open waters. 
  
 Stop by any day of the week at our Santa Ana storage location on Fairview St. across from Goodwill. We have a friendly, bilingual staff ready to help you find the perfect storage unit for whatever your needs may be. Call our Santa Ana mini storage facility today! 
  
  
 We look forward to hearing from you. 
 Current Customers: (714) 835-8445",yellowpage,
Judy Blue,"Public & Commercial Warehouses, Warehouses-Merchandise",(747) 230-5276,,http://judybluejeans.com/,"4623 Hampton St,  Vernon, CA 90058",,yellowpage,
Derrel's Mini Storage,"Self Storage, Boat Storage, Boat Yards",(626) 248-4323,,http://www.derrels.com/,"2425 N Santa Fe Ave,  Merced, CA 95348","Since 1963, Derrel's Mini Storage has provided self-storage from Sacramento to Bakersfield and even on the Central Coast. Founded by Derrel J. Ridenour and his son Derrel A. Ridenour, Derrel's Mini Storage provides the largest storage facilities in the nation. Today, there are over 60 locations and we continue to grow! We value our customers and take great pride in our reputation as the premier self-storage company in the communities we serve.",yellowpage,
Cwi,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(909) 350-3965,,,"7900 Alabama Ave,  Canoga Park, CA 91304",,yellowpage,
Miniso Depot Ca Inc,"Public & Commercial Warehouses, Warehouses-Merchandise",(408) 441-0410,,,"2 S Garfield Ave,  Alhambra, CA 91801",,yellowpage,
Kane Warehousing Inc,"Warehouses-Merchandise, Public & Commercial Warehouses",(213) 622-1446,,,"10798 Catawba Ave,  Fontana, CA 92337",,yellowpage,
Oakland Road Storage,"Cold Storage Warehouses, Public & Commercial Warehouses",(559) 876-1005,,,"1799 Oakland Rd,  San Jose, CA 95131",,yellowpage,
Elias Produce,"Public & Commercial Warehouses, Warehouses-Merchandise",(661) 587-1100,,,"1925 E 8th St Ste 12,  Los Angeles, CA 90021",,yellowpage,
Academy South Mini Storage,"Storage Household & Commercial, Automobile Storage, Boat Storage",(323) 726-6843,,https://www.academyministorage.com/directions-contact-us,"3543 S Academy Ave,  Sanger, CA 93657",,yellowpage,
Red River Warehouse,"Public & Commercial Warehouses, Warehouses-Merchandise",(757) 365-3000,,,"4770 Fanucchi Way,  Shafter, CA 93263",,yellowpage,
Tapastry,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(626) 443-8964,,,"2000 Camfield Ave,  Commerce, CA 90040",,yellowpage,
Smithfield Foods I N C,"Public & Commercial Warehouses, Warehouses-Merchandise",(909) 428-6915,,,"2750 E 37th St,  Vernon, CA 90058",,yellowpage,
Steven T Lee,"Storage Household & Commercial, Public & Commercial Warehouses, Warehouses-Merchandise",(323) 587-4000,,,"9743 Alpaca St,  South El Monte, CA 91733",,yellowpage,
Dpif 2 Ca 17 Miller Ave,"Public & Commercial Warehouses, Warehouses-Merchandise",(714) 526-5448,,,"14605 Miller Ave,  Fontana, CA 92336",,yellowpage,
Trendy Designs,"Public & Commercial Warehouses, Warehouses-Merchandise",(562) 634-2491,,,"2281 E 49th St,  Vernon, CA 90058",,yellowpage,
Silicon Valley Foundation,"Public & Commercial Warehouses, Warehouses-Merchandise",(323) 307-9976,,,"2005 Raymer Ave,  Fullerton, CA 92833",,yellowpage,
Dhs Ice Hst Warehouse,"Public & Commercial Warehouses, Warehouses-Merchandise",(619) 422-5917,,,"6321 Alondra Blvd,  Paramount, CA 90723",,yellowpage,
Bkjk,"Public & Commercial Warehouses, Warehouses-Merchandise",(909) 986-0068,,,"3656 Noakes St,  Los Angeles, CA 90023",,yellowpage,
Santa's Warehouse Inc,"Public & Commercial Warehouses, Warehouses-Merchandise",(800) 891-3661,,,"2295 Manya St,  San Diego, CA 92154",,yellowpage,
Mountain Avenue Self Storage,"Storage Household & Commercial, Boat Storage, Cold Storage Warehouses",(323) 721-1817,,https://www.selfstoragemountainave.com/,"630 S Mountain Ave,  Ontario, CA 91762","Find self storage for your home or office equipment at Mountain Avenue Self Storage, located at 630 S Mountain Ave in Ontario, California. Storage units are available for a wide variety of uses. Reservations can be made online with ease, so find the storage space you need today.",yellowpage,
